,_candidate_id,_candidate_name,*region,#R2017_scores_overall,#R2017_scores_teaching,#R2017_scores_research,#R2017_scores_citations,#R2017_scores_industry_income,#R2017_scores_international_outlook,#R2017_stats_pc_intl_students,#R2018_scores_overall,#R2018_scores_teaching,#R2018_scores_research,#R2018_scores_citations,#R2018_scores_industry_income,#R2018_scores_international_outlook,#R2018_stats_pc_intl_students,#R2019_scores_overall,#R2019_scores_teaching,#R2019_scores_research,#R2019_scores_citations,#R2019_scores_industry_income,#R2019_scores_international_outlook,#R2019_stats_pc_intl_students,#R2020_Score_Result,#R2020_International_Students,#R2020_Teaching,#R2020_Research,#R2020_Citations,#R2020_Industry_Income,#R2020_International_Outlook,#R2021_overall score,#R2021_teaching score,#R2021_research score,#R2021_citations score,#R2021_industry income score,#R2021_intl outlook score,#R2022_scores_overall,#R2022_scores_teaching,#R2022_scores_research,#R2022_scores_citations,#R2022_scores_industry_income,#R2022_scores_international_outlook,#R2022_stats_pc_intl_students,#R2023_scores_overall,#R2023_scores_teaching,#R2023_scores_research,#R2023_scores_citations,#R2023_scores_industry_income,#R2023_scores_international_outlook,#R2023_stats_pc_intl_students,#R2024_scores_overall,#R2024_scores_teaching,#R2024_scores_research,#R2024_scores_citations,#R2024_scores_industry_income,#R2024_scores_international_outlook,#R2024_stats_pc_intl_students
15,15,University of Washington,West,16,17,15,9,1,27,82,16,14,12,18,19,5,83,14,15,15,33,19,27,93,15,93,14,15,14,38,8,17,14,17,7,3,35,17,14,16,11,35,51,80,15,14,16,5,19,51,104,12,16,15,27,10,51,99
16,16,Carnegie Mellon University,North East,15,16,12,6,48,29,85,15,22,15,6,3,8,93,17,22,18,6,38,29,62,16,85,15,18,18,3,100,16,15,15,11,10,100,16,15,15,7,95,100,94,14,15,14,6,38,100,80,17,17,21,10,39,61,40
17,17,New York University,North East,17,15,19,10,80,38,93,17,15,18,5,6,100,94,15,14,12,12,3,100,66,17,66,22,21,54,52,5,15,22,12,0,57,27,15,20,12,6,16,17,93,16,21,21,7,91,38,85,14,14,19,12,26,38,89
18,18,"University of California, San Diego",West,19,22,9,7,58,11,96,18,16,19,7,21,63,106,18,16,17,18,58,63,106,18,80,20,17,10,58,27,18,20,18,12,5,51,18,22,21,5,52,35,97,18,20,18,44,10,91,78,18,24,14,44,91,100,86
19,19,Georgia Institute of Technology,South East,21,24,22,5,31,63,66,19,21,21,12,26,26,89,19,20,19,41,95,17,97,19,94,16,12,5,30,51,19,16,21,27,52,17,19,21,18,54,44,70,83,19,16,12,27,95,6,94,19,21,18,0,51,17,83
20,20,University of Texas at Austin,South West,18,21,32,28,16,26,72,21,24,17,33,44,51,97,20,24,20,14,30,64,102,20,89,23,19,12,95,29,20,29,19,10,91,5,20,16,20,27,10,5,79,21,24,19,54,57,35,93,21,22,12,33,52,6,58
21,21,University of Illinois at Urbana-Champaign,Mid West,22,20,17,65,20,74,97,22,18,22,10,30,29,76,22,18,21,10,47,51,94,21,97,24,20,25,40,95,21,21,20,25,95,26,21,25,22,10,5,6,89,20,23,20,12,30,5,83,20,18,20,13,58,70,66
22,22,University of Wisconsin-Madison,Mid West,27,25,26,33,30,8,62,20,35,35,11,47,12,102,21,21,22,5,26,6,83,22,76,21,22,11,5,17,22,24,22,54,44,6,23,24,19,12,30,26,106,23,19,26,10,16,70,79,26,20,26,17,95,91,72
23,23,Washington University in St Louis,Mid West,20,26,35,11,83,16,89,24,26,20,46,56,64,16,27,23,35,11,5,14,89,23,106,18,31,17,31,6,23,23,26,17,30,95,25,29,35,25,65,18,16,24,18,35,17,5,26,97,22,35,22,28,16,26,85
24,24,Brown University,North East,24,18,18,14,21,81,106,23,20,32,28,80,6,54,24,19,27,25,80,34,76,24,83,26,26,27,26,64,29,25,35,48,16,63,22,18,26,17,56,12,76,26,37,22,38,39,12,89,24,26,35,19,65,54,53
25,25,University of North Carolina at Chapel Hill,South East,26,19,20,44,56,51,102,27,23,31,14,16,34,100,23,25,26,28,31,0,54,25,16,19,35,37,10,63,28,26,25,13,38,12,28,23,25,44,91,54,51,27,26,27,13,15,54,16,23,19,27,25,5,56,80
26,26,"University of California, Davis",West,32,23,31,24,26,34,94,26,19,26,44,31,28,2,25,35,31,17,56,28,16,26,100,25,27,28,16,28,25,18,28,37,47,10,29,37,31,13,38,28,9,29,22,25,25,47,18,17,27,25,53,54,47,63,104
27,27,"University of California, Santa Barbara",West,25,32,36,25,6,12,76,32,37,36,24,10,81,9,26,37,25,44,84,10,9,27,9,37,25,44,56,14,24,19,52,45,56,28,24,26,28,28,47,29,17,25,25,52,28,26,14,19,25,32,25,38,56,35,94
28,28,Boston University,North East,23,28,27,46,3,24,16,25,25,25,25,84,0,105,35,26,32,46,40,26,100,28,2,30,32,45,47,10,26,28,27,28,58,29,26,19,27,38,57,14,100,28,29,29,48,40,28,106,29,23,24,36,21,14,93
29,29,University of Southern California,West,29,37,29,13,15,10,100,35,32,27,17,20,10,77,29,32,36,13,21,12,2,29,17,35,29,43,84,18,27,37,32,39,26,64,27,34,52,37,84,10,0,22,34,24,19,65,63,76,28,28,29,29,30,12,79
30,30,Ohio State University (Main campus),Mid West,28,35,25,17,57,14,2,29,28,23,20,95,14,51,32,30,24,37,10,95,17,30,51,28,36,24,80,34,30,35,31,44,40,14,33,28,29,24,26,101,2,33,28,36,45,56,101,9,32,29,31,43,84,18,78
31,31,Penn State (Main campus),North East,36,30,53,29,98,70,9,36,30,29,13,15,24,41,30,34,23,43,8,24,105,31,0,39,23,13,57,26,33,30,36,18,84,18,30,35,32,45,40,63,105,38,35,32,43,52,10,51,35,37,32,65,35,10,16
32,32,University of Minnesota,Mid West,31,39,23,43,84,98,77,28,34,24,29,4,70,19,28,28,29,24,20,59,65,32,65,34,34,38,21,49,32,32,23,24,21,56,32,32,23,43,51,64,65,44,39,23,29,20,56,100,44,41,36,20,4,29,17
33,33,Emory University,South East,35,31,24,37,22,15,105,30,31,53,43,13,73,0,31,33,30,19,4,18,51,33,105,33,24,48,13,56,36,39,29,43,80,34,36,33,36,48,80,56,28,32,32,28,61,58,23,0,38,30,23,24,40,28,97
34,34,Michigan State University,Mid West,30,42,30,38,4,83,51,31,52,30,19,57,15,4,36,39,53,20,60,73,0,34,41,32,30,62,65,12,35,52,24,38,79,54,34,39,24,19,20,95,18,36,52,34,77,84,29,2,30,52,52,42,57,101,106
35,35,Purdue University West Lafayette,Mid West,43,52,43,81,10,28,0,34,42,34,38,40,30,17,33,52,34,38,16,15,41,35,61,31,28,39,15,24,38,33,34,29,60,101,38,30,34,77,21,49,7,34,33,53,36,80,64,28,33,53,28,45,80,15,9
36,36,"University of Maryland, College Park",South East,37,53,34,63,53,13,41,41,39,52,36,22,13,81,41,42,52,29,15,81,19,36,28,29,53,41,44,54,37,34,30,77,13,49,37,52,30,42,4,23,41,30,30,31,24,21,24,65,36,34,38,46,46,23,51
37,37,Dartmouth College,North East,33,33,49,20,38,30,19,37,47,43,81,5,98,61,34,29,38,39,53,49,28,37,19,42,52,20,60,15,34,31,40,46,4,24,35,50,53,29,13,34,61,37,50,38,37,4,15,105,34,44,30,30,33,95,2
38,38,"University of California, Irvine",West,41,27,28,62,95,17,81,33,53,49,37,83,49,73,38,31,49,45,44,56,4,38,7,52,40,29,4,73,44,42,53,51,33,15,44,42,49,56,58,24,38,35,53,30,39,51,95,7,53,56,34,51,20,24,0
39,39,Georgetown University,North East,38,34,52,59,65,73,4,38,27,47,63,64,56,28,37,53,47,36,22,30,61,39,38,50,49,46,20,30,31,50,47,19,20,59,31,31,38,36,60,15,98,45,44,49,56,79,49,18,41,31,46,49,69,49,61
40,40,University of Arizona,South West,34,36,38,36,9,33,73,46,29,28,62,106,84,3,42,27,28,42,13,98,7,40,73,40,47,77,22,13,42,47,49,42,65,30,45,36,40,20,33,30,19,39,74,44,20,90,34,38,31,33,40,48,13,64,100
41,41,Rice University,South West,39,29,46,19,5,56,17,43,50,46,59,65,74,7,39,41,43,63,74,13,81,41,29,47,38,51,8,59,39,44,38,20,15,73,42,47,47,39,79,33,11,43,59,40,51,13,30,41,56,39,44,56,59,34,65
42,42,University of Virginia (Main campus),South East,44,50,40,73,104,48,70,44,36,38,51,38,17,70,43,50,46,48,65,74,73,42,3,53,50,42,79,33,45,74,46,36,22,13,39,44,33,46,9,59,4,41,45,46,42,33,59,61,52,50,56,32,42,81,76
43,43,University of Pittsburgh-Pittsburgh campus,North East,46,45,37,45,60,71,7,42,44,66,45,60,33,11,46,55,40,51,83,23,29,43,11,48,46,19,41,71,41,41,50,67,9,33,49,45,44,41,22,13,29,46,36,33,47,22,83,11,51,45,49,26,86,83,28
44,44,Vanderbilt University,South East,42,44,50,77,77,6,61,47,33,41,73,74,21,35,44,47,50,77,9,33,11,44,21,41,43,36,33,81,40,40,44,41,53,23,41,74,50,51,59,50,21,52,42,43,46,59,33,81,46,48,43,57,22,50,19
45,45,Case Western Reserve University,Mid West,45,43,47,51,13,53,3,39,43,37,42,71,83,29,49,45,42,22,41,71,21,45,4,44,42,67,53,23,46,53,42,62,64,71,43,53,46,30,64,83,45,31,31,45,41,83,50,4,43,42,33,41,79,33,7
46,46,University of Colorado Boulder,West,49,48,60,21,74,49,29,49,41,44,21,79,71,21,45,48,41,56,62,48,3,46,45,55,60,30,9,87,43,36,43,56,86,87,51,41,85,62,83,55,8,48,48,50,67,71,13,8,40,51,41,34,71,13,81
47,47,Indiana University,Mid West,52,74,33,48,94,21,21,52,46,42,56,41,48,12,47,36,66,81,42,84,38,47,18,45,44,56,25,84,47,45,60,30,76,81,40,40,43,67,28,61,3,51,55,51,72,23,81,12,37,36,51,55,62,59,41
48,48,Tufts University,North East,48,55,66,22,41,61,35,50,55,33,57,33,23,1,48,43,60,57,79,87,70,48,35,27,33,57,76,55,51,55,33,57,90,50,52,49,45,63,53,91,1,49,41,37,30,60,55,23,45,43,50,40,23,30,38
49,49,Arizona State University (Tempe),South West,50,41,39,49,73,54,1,51,45,60,77,73,53,38,52,44,33,49,33,21,1,49,81,43,66,63,83,50,52,48,45,55,41,84,46,55,42,40,15,81,12,42,43,42,55,64,60,98,42,40,71,63,15,55,45
50,50,University of Notre Dame,Mid West,54,47,45,32,33,50,64,45,40,40,48,104,18,5,40,51,44,62,71,50,45,50,70,36,37,40,62,21,48,27,66,40,71,91,47,43,37,57,71,73,6,47,40,41,99,86,73,1,49,59,37,22,60,87,4
51,51,University of Rochester,North East,47,51,41,70,64,87,98,53,48,50,30,76,54,6,51,46,37,73,64,55,35,51,1,46,45,22,86,53,50,43,69,63,25,53,48,48,51,32,86,60,81,40,46,47,62,54,21,6,39,55,85,72,28,60,11
52,52,University of Florida,South East,51,59,42,57,79,55,5,40,38,69,32,9,50,24,54,38,69,30,25,53,24,52,6,59,41,21,71,60,49,51,37,22,104,55,50,59,69,26,62,84,70,53,47,69,57,25,87,3,48,27,45,21,53,45,29
53,53,Texas A&M University,South West,40,40,44,26,76,90,24,54,59,39,39,77,47,65,53,40,45,21,86,83,68,53,49,51,69,79,64,83,55,59,41,26,62,61,53,27,66,49,25,53,23,56,49,71,63,42,53,68,47,47,42,39,43,47,98
54,54,"University of California, Santa Cruz",West,63,38,69,42,71,18,6,48,58,97,49,53,87,68,50,75,54,59,73,54,49,54,68,38,39,26,45,47,53,46,71,79,46,83,54,51,41,21,77,21,35,54,27,66,73,62,61,21,50,38,54,47,25,82,1
55,55,George Washington University,North East,56,46,54,30,42,39,54,59,51,54,22,42,55,45,55,88,39,32,51,47,33,55,5,58,85,59,104,61,60,38,85,59,42,60,55,46,71,73,23,87,5,59,38,84,32,53,82,70,54,46,60,73,90,53,3
56,56,University of Massachusetts,North East,53,75,85,56,62,47,65,56,49,45,26,43,61,33,61,58,64,26,37,60,23,56,91,62,71,32,46,45,56,75,51,32,28,21,56,38,60,72,41,82,68,55,58,48,59,76,71,29,55,58,66,37,17,21,21
57,57,University of Utah,West,59,58,56,39,25,66,28,63,66,71,40,51,39,49,64,49,71,40,76,61,18,57,33,75,54,58,42,91,59,58,64,76,77,47,59,85,39,22,46,47,73,50,51,60,26,9,47,91,58,71,57,61,9,44,23
58,58,University of Iowa,Mid West,61,66,48,40,54,23,74,57,75,51,70,25,90,64,63,59,58,55,104,45,6,58,24,88,57,73,90,90,57,85,39,72,51,45,67,58,74,55,42,45,24,74,75,39,49,17,45,5,59,90,47,74,64,22,8
59,59,University of Miami,South East,62,88,63,76,92,42,33,55,88,92,50,86,82,98,58,62,57,70,63,90,5,59,14,78,48,49,28,48,58,78,74,21,83,82,57,75,84,76,76,71,91,63,56,57,76,46,42,24,57,70,39,76,29,48,6
60,60,Virginia Polytechnic Institute and State University,South East,71,56,91,31,63,69,11,58,64,57,34,102,66,90,56,64,92,72,45,91,48,60,23,49,74,55,77,80,54,77,55,73,45,90,65,88,64,58,43,90,33,65,77,64,34,41,22,73,70,57,58,31,41,73,68
61,61,Brandeis University,North East,57,49,71,47,102,104,90,73,57,58,47,36,42,14,59,78,84,76,102,68,91,61,12,72,84,76,59,82,61,88,48,58,43,42,58,77,48,94,90,42,39,57,71,56,22,43,69,14,71,74,55,59,54,69,5
62,62,Wake Forest University,South East,73,77,94,34,37,80,38,66,74,48,31,62,91,18,57,92,85,79,57,80,14,62,39,57,64,34,37,42,62,62,84,49,59,48,60,71,59,34,54,48,101,60,90,59,40,77,48,45,60,75,63,67,76,90,91
63,63,"University of California, Riverside",West,70,64,73,50,43,91,45,61,92,85,69,54,45,95,62,66,48,58,68,42,98,63,55,56,55,81,51,68,65,72,56,70,23,68,66,78,55,70,102,22,26,76,88,54,21,102,68,35,63,86,48,70,50,71,105
64,64,University at Buffalo,North East,69,57,51,74,29,31,95,69,56,56,68,88,68,8,70,99,63,31,90,39,90,64,98,66,56,72,43,22,67,57,54,75,102,80,61,62,54,90,45,80,27,72,66,55,90,29,44,33,66,60,59,62,68,42,18
65,65,Oregon Health and Science University,West,58,62,57,69,106,45,12,65,86,91,76,87,80,23,60,71,51,34,48,31,12,65,101,60,63,68,23,31,66,49,57,34,73,69,74,66,80,59,88,68,14,70,78,80,70,45,90,27,74,77,80,58,73,80,24
66,66,Florida State University,South East,66,78,80,68,51,22,23,62,78,84,83,29,69,10,73,86,55,67,43,46,55,66,90,64,51,70,101,46,63,66,80,47,93,86,63,72,57,31,17,69,55,58,57,63,31,48,80,39,61,85,84,90,48,37,33
67,67,George Mason University,South East,74,71,92,58,36,40,91,70,82,94,58,37,104,34,68,82,91,68,23,69,8,67,8,77,82,47,102,104,64,56,63,80,29,22,64,64,68,47,104,39,49,67,85,58,74,94,67,26,64,82,64,66,49,67,70
68,68,Syracuse University,North East,55,72,87,67,34,85,68,68,71,63,55,92,31,39,69,56,82,47,66,82,34,68,10,86,68,31,73,69,80,64,58,31,94,67,69,57,63,60,29,44,10,66,62,74,60,73,102,15,90,49,69,60,45,66,27
69,69,University of Delaware,South East,76,82,64,52,87,68,8,71,77,55,67,8,22,91,65,57,56,69,87,22,10,69,64,71,58,78,29,39,75,71,67,94,54,46,71,82,58,83,63,86,13,64,60,87,75,92,86,101,65,72,94,52,63,86,12
70,70,Stony Brook University,North East,60,86,82,79,86,82,101,81,97,78,79,46,40,55,66,90,73,83,77,104,39,70,13,74,73,64,66,58,73,86,82,93,36,39,77,56,82,79,94,67,15,61,82,94,94,88,39,13,76,78,76,77,72,31,26
71,71,North Carolina State University,South East,68,99,55,55,59,25,34,64,62,87,72,63,76,101,81,74,80,88,54,40,101,71,15,82,91,50,106,67,76,65,68,68,88,31,70,86,56,78,66,102,44,90,64,82,58,104,74,49,80,64,87,99,31,74,14
72,72,Temple University,North East,77,92,58,83,46,76,10,87,99,73,78,90,85,48,71,65,68,78,88,76,13,72,59,99,80,75,63,85,72,60,73,81,66,76,72,65,67,99,73,31,31,75,86,76,83,63,31,48,84,62,83,53,36,102,39
73,73,University of Texas at Dallas,South West,91,60,68,35,101,46,14,80,72,68,74,66,46,15,92,60,87,50,59,67,64,73,31,90,87,83,36,76,77,90,87,64,48,85,76,60,73,64,31,58,64,80,72,92,78,31,66,10,73,84,106,64,92,104,35
74,74,Boston College,North East,65,54,84,72,90,101,13,60,90,82,35,59,25,13,79,77,67,80,29,85,27,74,34,65,89,80,54,101,70,82,96,90,100,58,62,68,91,80,50,104,59,62,65,68,80,28,104,59,72,65,74,50,34,89,101
75,75,Tulane University,South East,64,70,95,71,88,67,49,76,60,64,66,68,99,59,80,70,94,64,46,99,15,75,27,68,97,69,88,93,68,68,106,60,50,66,68,99,96,50,48,66,48,73,76,106,100,11,76,31,86,66,91,80,98,46,44
76,76,The University of Tennessee-Knoxville,South East,67,91,93,91,8,32,15,77,70,80,91,17,67,47,75,72,81,75,94,66,47,76,48,85,67,93,17,102,69,99,89,50,101,104,80,90,106,66,36,46,90,77,84,96,50,49,99,44,85,76,82,100,85,68,48
77,77,Rush University,Mid West,72,79,61,78,72,75,37,91,68,67,103,23,101,37,76,76,74,74,106,93,59,77,47,97,92,60,48,99,74,79,91,88,37,102,73,70,76,68,37,85,37,71,92,73,64,99,58,37,82,99,70,94,11,76,15
78,78,University of Denver,West,87,85,67,87,50,37,26,82,79,89,80,48,92,27,67,79,59,35,17,101,95,78,71,70,94,74,87,66,71,70,95,66,63,99,85,84,87,69,99,76,56,69,99,89,66,72,93,55,87,80,92,96,94,93,13
79,79,Wayne State University,Mid West,85,68,86,66,99,84,48,84,87,59,64,45,89,63,78,85,89,66,36,92,37,79,37,89,59,66,49,44,86,76,92,69,17,93,90,92,95,81,87,74,60,86,68,67,86,66,46,64,62,61,96,71,102,58,37
80,80,Washington State University,West,83,90,70,64,23,99,39,92,76,61,90,94,75,56,82,54,83,60,49,44,31,80,56,92,83,86,94,92,79,92,72,78,99,74,94,89,94,75,98,93,63,68,97,70,79,98,75,90,75,79,95,68,24,39,10
81,81,Clark University,North East,78,63,83,94,45,92,59,67,65,95,52,101,37,31,74,97,86,71,101,36,63,81,26,79,95,88,99,74,90,97,59,86,49,44,79,76,89,93,49,89,22,99,89,95,89,36,43,22,68,102,61,75,82,96,90
82,82,University of Connecticut,North East,82,102,89,101,49,36,55,78,102,70,71,99,36,71,88,102,95,94,92,75,56,82,44,54,75,71,50,89,89,89,86,83,92,92,75,97,92,86,11,75,34,87,79,91,81,37,89,56,91,63,73,86,37,43,73
83,83,University of Alaska Fairbanks,West,94,87,78,82,68,20,47,74,54,81,94,93,44,30,83,87,61,90,34,37,44,83,63,76,72,90,96,75,93,80,94,96,87,75,87,79,70,89,85,99,47,84,87,90,69,82,92,54,98,88,68,82,66,25,31
84,84,Iowa State University,Mid West,81,84,72,60,93,43,18,83,89,88,88,72,52,58,87,89,75,82,50,52,74,84,95,102,70,94,82,36,87,54,70,95,31,36,95,96,86,88,82,43,71,89,70,85,68,34,36,71,100,89,67,89,75,52,63
85,85,University of Georgia,South East,79,97,76,90,11,96,32,86,85,83,82,78,94,44,72,68,76,91,99,32,71,85,60,63,76,87,34,32,95,63,61,99,82,43,86,67,72,53,93,92,50,78,80,83,52,50,37,63,89,54,90,69,55,92,55
86,86,University of Kansas,Mid West,75,76,88,75,70,52,63,79,63,86,75,49,32,88,77,80,70,52,82,94,60,86,30,80,106,35,85,40,84,67,76,53,34,37,84,54,83,74,106,36,54,82,63,78,53,93,96,60,67,83,86,35,106,75,56
87,87,University of Nebraska-Lincoln,Mid West,80,61,62,84,40,94,56,75,80,93,87,34,96,82,91,63,97,87,72,96,26,87,22,96,61,89,11,52,85,84,75,74,11,32,89,94,103,95,101,52,30,94,54,86,96,87,25,30,96,93,102,87,87,103,49
88,88,American University,North East,86,65,97,89,75,58,31,72,84,76,89,96,43,74,84,67,96,86,96,43,58,88,58,87,81,53,75,96,78,102,83,87,85,52,78,80,78,87,34,37,42,83,102,102,95,106,32,42,69,91,89,79,104,36,59
89,89,Georgia State University,South East,92,80,96,80,96,86,42,89,91,102,84,50,79,84,86,94,88,98,93,79,88,89,88,91,86,96,93,37,82,96,97,71,24,40,82,102,97,96,24,40,82,79,96,61,98,101,52,47,94,92,100,95,103,32,60
90,90,Drexel University,North East,90,94,74,103,47,79,30,90,61,74,60,75,20,42,90,96,78,84,75,89,22,90,42,67,96,52,92,43,94,91,103,100,106,25,83,87,102,100,100,25,43,100,94,72,87,85,40,50,95,87,103,84,70,97,22
91,91,Rensselaer Polytechnic Institute,North East,84,83,106,96,82,57,71,94,94,101,86,82,86,22,94,84,102,89,11,20,46,91,84,84,78,82,98,20,83,94,78,89,75,96,91,63,75,52,75,32,74,95,67,75,82,24,20,34,77,68,75,98,99,20,64
92,92,University of Houston,South West,100,67,103,85,78,60,84,88,67,106,85,11,58,87,96,61,106,103,85,72,30,92,50,61,93,84,24,94,81,83,90,35,98,20,93,91,90,98,92,96,75,96,93,103,71,75,97,67,79,94,78,85,93,40,88
93,93,Oklahoma State University,South West,103,89,101,86,85,72,88,85,96,96,92,85,72,104,85,69,101,96,28,58,42,93,87,69,102,95,70,25,88,93,81,52,97,72,98,93,61,82,70,20,36,97,106,97,103,55,84,82,99,95,72,81,89,94,47
94,94,"Colorado State University, Fort Collins",West,101,73,102,92,28,102,22,96,69,72,53,98,60,50,89,101,104,92,100,102,50,94,36,94,101,91,67,72,96,61,102,103,67,94,99,69,101,103,97,94,67,91,83,101,35,97,94,69,92,101,98,92,61,88,50
95,95,Missouri University of Science and Technology,Mid West,89,69,100,105,66,89,27,97,93,62,98,24,102,32,99,91,93,53,24,25,87,95,74,83,90,100,78,79,99,101,101,82,68,97,96,101,104,71,89,97,88,93,95,104,84,89,72,74,78,104,101,78,105,84,54
96,96,Florida International University,South East,96,93,104,100,24,88,58,103,106,105,100,28,97,78,93,83,90,93,98,97,84,96,43,101,104,98,103,97,100,69,62,84,78,79,88,106,81,35,67,72,84,98,91,81,88,70,103,88,102,97,62,83,101,85,67
97,97,Louisiana State University,South East,88,96,98,88,61,44,75,99,95,104,96,61,57,75,100,93,105,100,70,103,32,97,32,106,88,92,61,86,91,106,93,98,61,89,81,61,93,84,55,103,95,103,69,98,93,103,85,75,83,69,97,106,97,72,71
98,98,New Jersey Institute of Technology,North East,98,104,105,53,100,97,43,93,73,103,99,70,103,60,101,106,62,99,103,86,43,98,75,104,98,103,100,103,98,87,104,91,70,103,100,83,98,101,78,79,87,101,61,100,85,96,88,43,103,96,65,103,100,79,69
99,99,University of Nebraska Medical Center,Mid West,105,101,59,98,17,103,78,100,83,90,101,103,88,69,98,81,103,85,78,88,75,99,46,95,105,99,97,57,92,95,105,92,103,88,97,104,105,85,68,88,20,85,101,93,101,78,79,36,105,67,104,105,67,99,30
