_candidate_id,_candidate_name,*continent,#2010 Life Ladder,#2010 Log GDP per capita,#2010 Social support,#2010 Healthy life expectancy at birth,#2010 Freedom to make life choices,#2010 Generosity,#2010 Perceptions of corruption,#2010 Democratic Quality,#2010 Delivery Quality,#2011 Life Ladder,#2011 Log GDP per capita,#2011 Social support,#2011 Healthy life expectancy at birth,#2011 Freedom to make life choices,#2011 Generosity,#2011 Perceptions of corruption,#2011 Democratic Quality,#2011 Delivery Quality,#2012 Life Ladder,#2012 Log GDP per capita,#2012 Social support,#2012 Healthy life expectancy at birth,#2012 Freedom to make life choices,#2012 Generosity,#2012 Perceptions of corruption,#2012 Democratic Quality,#2012 Delivery Quality,#2013 Life Ladder,#2013 Log GDP per capita,#2013 Social support,#2013 Healthy life expectancy at birth,#2013 Freedom to make life choices,#2013 Generosity,#2013 Perceptions of corruption,#2013 Democratic Quality,#2013 Delivery Quality,#2014 Life Ladder,#2014 Log GDP per capita,#2014 Social support,#2014 Healthy life expectancy at birth,#2014 Freedom to make life choices,#2014 Generosity,#2014 Perceptions of corruption,#2014 Democratic Quality,#2014 Delivery Quality,#2015 Life Ladder,#2015 Log GDP per capita,#2015 Social support,#2015 Healthy life expectancy at birth,#2015 Freedom to make life choices,#2015 Generosity,#2015 Perceptions of corruption,#2015 Democratic Quality,#2015 Delivery Quality,#2016 Life Ladder,#2016 Log GDP per capita,#2016 Social support,#2016 Healthy life expectancy at birth,#2016 Freedom to make life choices,#2016 Generosity,#2016 Perceptions of corruption,#2016 Democratic Quality,#2016 Delivery Quality,#2017 Life Ladder,#2017 Log GDP per capita,#2017 Social support,#2017 Healthy life expectancy at birth,#2017 Freedom to make life choices,#2017 Generosity,#2017 Perceptions of corruption,#2017 Democratic Quality,#2017 Delivery Quality
61,Russia,Europe,48,47,49,11,0,63,37,71,61,45,32,60,11,79,41,34,16,40,32,32,5,11,61,33,74,53,44,49,32,12,11,60,25,2,31,30,2,32,49,49,44,8,16,41,74,62,32,18,49,42,65,14,41,32,28,32,32,11,44,60,78,2,53,62,32,79,11,54,9,65,39,22
62,Senegal,Africa,12,45,10,34,47,1,63,73,7,23,28,68,34,26,60,71,58,52,40,28,31,34,47,1,28,16,56,34,28,46,34,69,60,56,73,7,9,28,46,34,72,25,41,53,52,44,28,46,34,26,63,64,73,52,45,28,79,34,15,57,74,73,74,45,28,29,34,9,55,48,2,53
63,Slovakia,Europe,68,28,62,54,69,66,49,5,52,5,45,45,62,33,62,40,39,56,68,45,10,62,5,23,12,41,7,26,45,10,62,78,23,33,41,44,34,45,12,62,79,65,19,72,56,10,45,14,62,9,60,18,40,56,11,45,8,40,10,46,28,40,52,10,11,62,40,62,60,19,40,54
64,Slovenia,Europe,62,12,68,62,10,5,70,31,56,44,12,49,54,47,42,70,73,7,71,12,12,54,65,25,71,70,32,2,41,18,40,62,19,63,72,22,62,12,18,40,63,59,73,40,49,40,11,49,40,44,25,48,49,54,26,11,10,62,72,2,16,31,22,53,45,44,62,53,16,38,45,30
65,South Africa,Africa,2,41,12,40,60,9,40,16,74,34,41,12,40,61,22,48,40,5,31,41,60,40,69,19,63,31,74,12,12,45,54,31,8,66,12,32,74,41,79,54,38,63,48,31,32,2,12,73,54,18,19,2,31,74,40,12,73,54,54,45,18,45,54,11,41,73,8,48,57,71,31,32
66,Spain,Europe,49,11,23,45,37,71,38,58,54,53,11,23,45,71,65,41,70,41,2,11,72,45,38,5,38,39,5,45,11,49,45,9,46,19,53,56,26,11,40,8,47,57,64,45,54,34,41,79,8,47,46,69,45,44,2,41,11,8,38,9,29,53,45,14,12,71,54,33,23,29,53,52
67,Sweden,Europe,40,40,44,28,26,8,41,12,49,12,40,5,28,74,1,74,12,45,44,40,49,28,33,65,70,12,11,8,40,2,28,45,2,64,39,49,12,40,60,45,71,33,28,73,44,14,40,11,45,63,23,33,79,49,53,40,2,69,71,71,19,79,32,65,40,40,69,72,22,41,61,45
68,Tajikistan,Asia,5,62,28,8,9,33,19,61,5,40,68,28,8,38,59,38,31,49,73,68,68,8,71,9,40,40,22,9,68,14,8,63,5,70,49,74,79,68,53,28,9,1,63,70,7,73,68,2,69,54,59,38,72,22,73,68,40,28,42,23,48,44,44,40,68,69,28,78,59,16,70,44
69,Tanzania,Africa,73,68,14,69,42,2,48,53,41,14,69,11,69,45,74,49,41,74,26,69,62,69,74,39,33,61,45,69,69,68,69,0,9,48,70,41,53,69,10,69,78,19,70,44,11,11,69,53,28,38,1,61,44,11,0,69,71,45,2,1,38,74,49,26,69,2,45,38,42,59,74,49
70,Thailand,Asia,11,69,11,0,49,78,47,70,45,68,62,71,0,42,71,61,5,54,12,62,53,65,14,71,48,78,41,40,62,53,65,79,22,61,61,11,8,49,2,65,14,22,38,78,22,26,49,10,65,33,78,70,12,7,10,62,53,65,26,61,63,70,41,74,62,12,65,14,19,70,79,41
71,Tunisia,Africa,26,49,60,65,72,77,61,41,12,2,49,10,65,14,2,33,49,22,49,49,28,0,0,2,61,5,49,53,49,29,73,74,74,42,5,54,44,62,14,73,54,23,2,79,41,28,62,62,31,2,61,42,70,41,34,49,12,31,47,33,41,61,7,2,49,54,31,10,1,33,12,7
72,Turkey,Asia,53,14,5,73,33,74,9,45,11,26,44,2,73,5,9,29,61,11,9,14,2,73,42,78,9,49,54,73,14,28,0,42,71,74,45,45,31,14,11,0,74,2,47,61,45,0,14,28,73,32,2,63,74,45,78,44,28,73,33,19,2,12,11,71,44,28,73,2,46,57,44,11
73,Uganda,Africa,10,44,2,10,14,72,59,49,22,11,14,72,10,29,78,9,78,12,14,79,14,10,2,74,47,45,12,44,79,11,10,72,72,47,44,12,11,79,71,79,31,26,74,12,12,74,44,12,79,29,26,59,78,12,14,79,69,79,14,78,59,78,12,34,79,68,79,74,78,35,5,12
74,Ukraine,Europe,9,0,53,53,5,65,74,78,68,69,79,62,53,49,26,19,45,68,69,0,71,53,45,8,19,79,68,11,0,31,79,71,78,29,78,68,28,44,28,10,0,78,29,5,68,45,79,34,0,78,9,9,61,68,74,14,54,0,0,5,33,5,68,73,0,14,10,47,26,9,68,68
75,United Kingdom,Europe,31,73,34,44,29,39,35,68,31,9,0,31,44,0,39,47,68,14,10,44,11,79,31,72,42,14,31,65,44,71,53,2,26,38,79,31,73,0,34,53,42,5,59,74,14,8,0,71,10,14,33,47,5,0,44,0,14,10,74,59,61,68,79,31,14,31,53,45,71,63,78,14
76,United States,North America,44,31,54,12,74,26,29,79,14,62,73,34,12,2,72,59,79,31,11,73,54,44,72,26,29,44,14,62,31,54,12,38,39,59,14,14,69,31,26,31,2,71,9,68,0,79,73,31,53,45,5,28,14,14,79,73,34,53,29,26,9,72,14,79,10,34,0,31,72,60,72,79
77,Uruguay,South America,14,79,31,79,2,42,42,14,78,0,31,0,79,72,8,35,14,78,53,31,26,12,79,42,59,68,0,0,73,26,44,14,42,60,68,0,10,73,31,12,33,42,42,14,31,53,31,54,12,74,71,35,68,79,8,31,31,12,45,8,60,14,0,8,73,26,12,71,5,47,14,31
