*race,_candidate_id,_candidate_name,#R1,#R2,#R3,#R4,#R5,#R6,#R7,#R8,#R9,#R10,#R11,#R12,#R13,#R14,#R15,#R16,#R17,#R18,#R19,#R20,#R21,#R22,#R23,#R24,#R25,#R26,#R27,#R28,#R29,#R30,#R31,#R32,#R33,#R34,#R35,#R36,#R37,#R38,#R39,#R40,#R41,#R42,#R43,#R44,#R45,#R46,#R47,#R48,#R49,#R50,#R51,#R52,#R53
White,11,Jim Grabb,2,28,56,28,17,42,2,19,17,10,54,56,28,28,56,54,54,2,47,47,42,2,2,3,3,3,3,3,19,19,47,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,28,56,28,17,42,2,19
White,12,Aaron Krickstein,3,40,54,56,10,56,42,22,60,17,28,28,56,56,17,56,56,54,54,54,56,42,42,42,42,22,2,2,42,42,2,47,12,12,12,12,47,47,3,3,3,3,3,3,3,3,40,54,56,10,56,42,22
Black,13,Petr Korda,8,17,40,60,40,47,54,42,40,60,40,40,60,60,60,17,17,56,2,16,47,54,54,6,6,8,56,19,16,6,22,2,8,8,47,47,32,32,32,8,8,8,8,8,8,8,17,40,60,40,47,54,42
Native,14,Christo Van Rensburg,47,2,2,40,60,54,6,8,10,40,2,2,40,40,6,6,6,6,6,2,54,16,16,16,16,42,19,16,22,22,8,32,47,32,8,32,8,8,8,42,42,47,47,47,47,47,2,2,40,60,54,6,8
Black,15,Todd Witsken,32,10,10,6,6,16,16,6,41,2,10,10,19,19,40,40,40,17,4,6,16,6,6,27,27,6,22,22,8,8,42,8,32,47,32,8,27,27,47,47,47,32,32,32,32,32,10,10,6,6,16,16,6
Black,16,Juan Aguilera,35,60,60,10,19,6,57,56,2,41,60,60,10,2,19,2,19,19,17,4,6,57,57,57,19,16,8,8,6,56,6,42,42,42,27,27,42,42,42,32,32,35,35,35,35,35,60,60,10,19,6,57,56
White,17,Mats Wilander,42,41,41,19,28,17,27,32,0,0,41,41,2,10,41,19,8,40,40,17,17,27,27,19,54,27,6,56,3,16,56,6,6,16,42,42,12,12,16,35,35,42,42,42,42,42,41,41,19,28,17,27,32
Black,18,Franco Davin,16,0,0,2,41,57,19,16,28,28,6,6,41,41,2,8,2,4,19,19,57,19,8,54,32,19,16,6,56,27,32,16,27,6,16,16,16,16,12,16,16,16,16,16,16,16,0,0,2,41,57,19,16
White,19,Pete Sampras,12,31,6,41,2,19,8,3,6,31,0,0,6,57,57,41,41,41,41,57,19,8,32,32,57,54,27,27,27,32,16,27,16,27,56,56,56,56,57,12,12,12,12,12,12,12,31,6,41,2,19,8,3
Asian,20,Richey Reneberg,25,6,31,57,4,8,32,27,14,6,31,31,57,6,28,57,57,8,8,40,8,32,19,8,8,32,32,32,32,3,27,41,56,56,6,6,6,57,39,39,39,25,25,25,25,25,6,31,57,4,8,32,27
Black,21,Amos Mansdorf,39,4,37,4,57,40,47,41,31,4,11,37,0,27,27,31,28,57,27,8,40,17,40,47,39,57,57,54,57,41,41,56,41,57,57,20,41,20,6,25,25,39,39,39,39,39,4,37,4,57,40,47,41
White,22,Goran Ivanisevic,20,37,35,27,27,32,40,57,37,14,14,14,31,0,14,28,31,27,57,13,32,40,17,22,47,47,54,57,54,57,57,57,57,41,41,57,20,6,20,20,20,20,20,20,20,20,37,35,27,27,32,40,57
Black,23,Jean-Philippe Fleurian,6,24,14,0,0,27,17,54,24,37,37,57,37,13,8,27,27,31,13,27,27,47,47,40,22,39,39,41,41,54,35,35,35,35,35,44,57,39,56,6,6,6,6,6,6,6,24,14,0,0,27,17,54
White,24,Jan Gunnarsson,41,14,8,13,13,13,13,35,35,24,51,51,13,37,13,14,14,16,16,28,13,13,13,13,13,11,41,39,39,35,39,36,36,36,20,35,39,41,35,41,41,41,41,41,41,41,14,8,13,13,13,13,35
White,25,Andrei Cherkasov,51,35,51,37,37,28,28,39,22,35,8,11,27,33,31,33,33,28,28,32,28,28,28,28,28,41,11,36,35,39,36,39,44,25,44,25,44,51,41,51,51,51,51,51,51,51,35,51,37,37,28,28,39
Black,26,Andre Agassi,31,22,4,31,8,39,39,36,8,8,19,44,14,4,33,13,13,37,31,5,41,39,39,39,40,13,13,13,36,36,20,44,20,13,36,41,35,35,51,31,31,31,31,31,31,31,22,4,31,8,39,39,36
White,27,Jonas Svensson,44,8,11,33,33,41,41,49,11,11,4,8,44,31,37,37,37,5,5,41,33,41,41,17,51,28,28,49,5,20,49,49,13,44,18,21,25,44,31,56,56,44,44,44,44,44,8,11,33,33,41,41,49
Native,28,Yannick Noah,57,57,44,8,31,33,33,20,57,22,44,19,11,14,4,4,4,13,33,31,53,33,33,51,41,36,40,40,13,5,5,20,25,20,25,36,21,25,44,44,44,57,57,57,57,57,57,44,8,31,33,33,20
White,29,Dan Goldie,21,11,5,14,14,53,36,5,5,57,5,4,51,11,5,5,5,33,14,33,14,36,36,41,36,40,51,28,49,13,13,13,51,18,21,18,36,36,25,21,57,21,21,21,21,21,11,5,14,14,53,36,5
White,30,Milan Srejber,36,5,33,11,44,14,53,13,4,5,33,22,8,51,44,38,16,14,39,14,39,53,53,36,53,53,33,35,40,33,51,51,39,51,51,51,18,21,21,57,21,36,36,36,36,36,5,33,11,44,14,53,13
Black,31,Sergi Bruguera,18,33,57,51,11,18,21,33,44,44,1,5,22,44,22,22,20,20,38,39,38,38,21,33,44,33,35,44,28,49,25,25,33,39,13,13,51,18,36,36,36,18,18,18,18,18,33,57,51,11,18,21,33
White,32,Guy Forget,56,44,1,44,51,38,51,28,33,33,57,1,4,8,51,20,53,53,36,38,51,14,51,53,33,51,44,33,44,40,33,33,49,33,39,33,33,33,18,18,18,56,56,56,56,56,44,1,44,51,38,51,28
White,33,Wally Masur,54,1,22,20,22,51,38,40,34,49,22,33,33,22,45,51,35,38,53,53,36,18,20,9,31,49,49,5,33,28,44,21,21,40,5,39,5,5,5,54,54,54,54,54,54,54,1,22,20,22,51,38,40
Black,34,Kelly Evernden,13,21,49,22,20,36,20,44,49,21,49,49,5,21,20,23,23,35,20,51,35,22,38,11,9,44,36,31,31,44,21,31,54,49,40,5,28,28,28,13,13,13,13,13,13,13,21,49,22,20,36,20,44
White,35,Jakob Hlasek,5,49,38,53,35,35,22,43,21,27,38,35,1,5,38,24,38,23,35,36,9,9,18,38,11,31,31,11,18,14,54,54,31,21,33,40,31,31,45,5,5,5,5,5,5,5,49,38,53,35,35,22,43
Black,36,Karel Novacek,28,27,19,5,23,9,18,14,27,20,35,53,20,1,23,11,24,44,23,35,23,51,22,20,20,20,38,18,21,31,40,5,14,31,31,31,13,17,17,28,28,28,28,28,28,28,27,19,5,23,9,18,14
Native,37,Jaime Yzaga,17,53,21,24,24,23,9,21,53,53,45,38,53,20,24,9,11,22,37,20,20,5,9,7,38,18,18,21,17,21,14,40,5,54,28,28,54,54,54,45,17,17,17,17,17,17,53,21,24,24,23,9,21
White,38,Javier Sanchez,45,45,53,1,5,20,14,31,45,45,15,27,21,53,9,35,9,11,44,37,37,20,5,18,7,9,21,20,11,11,43,14,43,5,54,54,14,14,14,17,49,45,45,45,45,45,45,53,1,5,20,14,31
Native,39,Marc Rosset,1,38,45,38,38,37,44,11,38,38,21,45,49,49,35,44,0,9,22,23,44,23,23,0,17,38,53,17,20,53,52,43,40,43,14,14,17,13,13,49,45,49,1,1,1,1,38,45,38,38,37,44,11
Native,40,Carl-Uwe Steeb,43,51,27,49,1,44,31,51,52,52,53,15,38,35,0,0,22,7,11,44,22,31,31,21,18,7,20,9,53,51,0,52,52,14,43,1,1,45,33,14,1,1,43,43,43,43,51,27,49,1,44,31,51
Black,41,Horst Skoff,40,52,23,23,49,5,23,9,51,34,20,21,45,38,1,53,44,0,9,18,5,37,37,31,0,17,17,43,9,9,31,0,28,28,49,52,43,1,1,1,43,43,40,40,40,40,52,23,23,49,5,23,9
Black,42,Jay Berger,49,20,24,35,15,31,5,53,1,51,55,23,15,45,53,21,21,51,7,9,18,11,14,44,21,0,9,0,43,0,28,28,0,52,52,45,45,43,43,43,40,40,49,49,49,49,20,24,35,15,31,5,53
White,43,Omar Camporese,33,55,20,45,53,11,37,0,15,1,27,20,23,15,49,49,51,39,0,11,31,35,11,23,49,21,0,25,1,43,18,18,18,53,53,43,49,49,40,40,9,9,33,33,33,33,55,20,45,53,11,37,0
White,44,Ronald Agenor,9,34,55,15,9,24,7,52,43,55,23,24,34,23,15,45,49,32,51,55,11,24,35,5,23,35,43,51,0,52,53,53,53,45,23,49,23,23,49,9,33,33,9,9,9,9,34,55,15,9,24,7,52
Native,45,Luiz Mattar,53,43,32,9,45,45,11,1,32,15,24,13,24,9,11,1,1,24,32,0,45,7,7,14,14,23,23,38,25,1,1,1,55,55,45,23,40,40,9,33,53,53,53,53,53,53,43,32,9,45,45,11,1
Black,46,Tomas Carbonell,52,32,25,34,21,22,35,25,20,43,32,34,9,34,21,16,32,49,18,45,24,0,24,35,5,25,7,7,51,25,45,55,11,23,9,0,0,15,15,53,15,52,52,52,52,52,32,25,34,21,22,35,25
Pacific Islander,47,Michael Chang,15,19,52,21,34,55,45,18,46,32,36,30,30,24,46,15,45,1,1,7,55,45,45,37,35,14,14,15,52,18,55,11,23,0,0,15,15,53,53,52,52,15,15,15,15,15,19,52,21,34,55,45,18
White,48,Brad Gilbert,55,23,34,46,46,0,43,38,19,36,25,36,35,30,16,46,18,45,29,22,0,21,0,45,45,45,55,23,38,38,11,23,34,15,55,53,53,9,23,15,55,55,55,55,55,55,23,34,46,46,0,43,38
Native,49,Marcelo Filippini,14,15,36,55,30,7,24,23,16,23,34,32,55,55,18,52,46,18,24,1,7,1,1,49,37,5,25,45,23,23,38,34,15,9,15,9,9,52,52,55,14,14,14,14,14,14,15,36,55,30,7,24,23
Asian,50,Stefan Edberg,7,36,15,52,55,15,0,15,36,46,30,55,32,46,34,18,15,21,21,29,1,15,29,55,55,37,45,14,7,15,23,15,45,38,1,55,55,55,55,23,7,7,7,7,7,7,36,15,52,55,15,0,15
Native,51,David Wheaton,23,46,46,30,52,1,1,34,39,39,46,46,46,36,30,30,25,15,15,21,29,29,15,43,43,55,37,55,55,55,34,45,9,7,38,38,52,38,0,7,23,23,23,23,23,23,46,46,30,52,1,1,34
Black,52,Darren Cahill,38,39,43,36,36,29,29,55,25,16,43,16,16,16,55,55,7,46,45,49,21,55,55,30,30,43,52,53,14,17,15,9,1,11,7,7,38,11,7,0,11,38,38,38,38,38,39,43,36,36,29,29,55
Black,53,Goran Prpic,0,16,29,16,32,21,15,17,23,19,29,29,36,52,36,36,30,30,49,15,25,25,30,24,25,30,15,37,45,7,9,7,7,1,11,11,7,7,11,11,38,0,0,0,0,0,16,29,16,32,21,15,17
Black,54,Tim Mayotte,11,29,39,25,16,25,55,7,30,9,52,25,25,25,52,25,39,29,46,24,49,49,25,25,1,15,5,52,15,45,7,38,38,17,17,17,11,0,38,30,0,11,11,11,11,11,29,39,25,16,25,55,7
Native,55,Jimmy Arias,46,9,16,32,25,49,30,45,9,25,39,9,52,39,25,34,52,55,30,30,15,30,49,15,52,52,30,30,37,30,37,37,37,30,30,30,30,30,30,46,46,46,46,46,46,46,9,16,32,25,49,30,45
Native,56,Martin Jaite,30,18,13,39,39,30,25,30,29,18,16,52,39,7,32,32,55,52,55,46,30,46,46,1,46,46,46,46,30,37,17,17,17,34,34,34,46,37,37,37,30,30,30,30,30,30,18,13,39,39,30,25,30
Native,57,Magnus Gustafsson,37,13,30,7,7,46,49,37,18,29,13,39,29,29,43,43,29,36,52,52,46,44,43,34,24,24,34,34,46,34,30,30,30,37,46,46,37,46,46,38,37,37,37,37,37,37,13,30,7,7,46,49,37
Black,58,Boris Becker,29,30,9,29,29,43,46,46,13,13,9,43,7,32,39,29,36,25,34,25,43,34,44,46,15,34,1,24,34,46,46,46,46,46,24,24,24,24,24,29,29,29,29,29,29,29,30,9,29,29,43,46,46
White,59,Ivan Lendl,34,25,18,18,18,34,34,24,55,30,18,7,18,43,29,39,34,34,25,34,34,43,34,29,34,1,24,1,24,24,24,24,24,24,37,37,34,29,29,24,24,34,34,34,34,34,25,18,18,18,34,34,24
Black,60,Andres Gomez,24,7,7,43,43,52,52,29,7,7,7,18,43,18,7,7,43,43,43,43,52,52,52,52,29,29,29,29,29,29,29,29,29,29,29,29,29,34,34,34,34,24,24,24,24,24,7,7,43,43,52,52,29
