*race,_candidate_id,_candidate_name,#R1,#R2,#R3,#R4,#R5,#R6,#R7,#R8,#R9,#R10,#R11,#R12,#R13,#R14,#R15,#R16,#R17,#R18,#R19,#R20,#R21,#R22,#R23,#R24,#R25,#R26,#R27,#R28,#R29,#R30,#R31,#R32,#R33,#R34,#R35,#R36,#R37,#R38,#R39,#R40,#R41,#R42,#R43,#R44,#R45,#R46,#R47,#R48,#R49,#R50,#R51,#R52,#R53
White,29,Dan Goldie,22,12,6,15,15,54,37,6,6,58,6,5,52,12,6,6,6,34,15,34,15,37,37,42,37,41,52,29,50,14,14,14,52,19,22,19,37,37,26,22,58,22,22,22,22,22,12,6,15,15,54,37,6
White,30,Milan Srejber,37,6,34,12,45,15,54,14,5,6,34,23,9,52,45,39,17,15,40,15,40,54,54,37,54,54,34,36,41,34,52,52,40,52,52,52,19,22,22,58,22,37,37,37,37,37,6,34,12,45,15,54,14
Black,31,Sergi Bruguera,19,34,58,52,12,19,22,34,45,45,2,6,23,45,23,23,21,21,39,40,39,39,22,34,45,34,36,45,29,50,26,26,34,40,14,14,52,19,37,37,37,19,19,19,19,19,34,58,52,12,19,22,34
White,32,Guy Forget,57,45,2,45,52,39,52,29,34,34,58,2,5,9,52,21,54,54,37,39,52,15,52,54,34,52,45,34,45,41,34,34,50,34,40,34,34,34,19,19,19,57,57,57,57,57,45,2,45,52,39,52,29
White,33,Wally Masur,55,2,23,21,23,52,39,41,35,50,23,34,34,23,46,52,36,39,54,54,37,19,21,10,32,50,50,6,34,29,45,22,22,41,6,40,6,6,6,55,55,55,55,55,55,55,2,23,21,23,52,39,41
Black,34,Kelly Evernden,14,22,50,23,21,37,21,45,50,22,50,50,6,22,21,24,24,36,21,52,36,23,39,12,10,45,37,32,32,45,22,32,55,50,41,6,29,29,29,14,14,14,14,14,14,14,22,50,23,21,37,21,45
White,35,Jakob Hlasek,6,50,39,54,36,36,23,44,22,28,39,36,2,6,39,25,39,24,36,37,10,10,19,39,12,32,32,12,19,15,55,55,32,22,34,41,32,32,46,6,6,6,6,6,6,6,50,39,54,36,36,23,44
Black,36,Karel Novacek,29,28,20,6,24,10,19,15,28,21,36,54,21,2,24,12,25,45,24,36,24,52,23,21,21,21,39,19,22,32,41,6,15,32,32,32,14,18,18,29,29,29,29,29,29,29,28,20,6,24,10,19,15
Native,37,Jaime Yzaga,18,54,22,25,25,24,10,22,54,54,46,39,54,21,25,10,12,23,38,21,21,6,10,8,39,19,19,22,18,22,15,41,6,55,29,29,55,55,55,46,18,18,18,18,18,18,54,22,25,25,24,10,22
White,38,Javier Sanchez,46,46,54,2,6,21,15,32,46,46,16,28,22,54,10,36,10,12,45,38,38,21,6,19,8,10,22,21,12,12,44,15,44,6,55,55,15,15,15,18,50,46,46,46,46,46,46,54,2,6,21,15,32
Native,39,Marc Rosset,2,39,46,39,39,38,45,12,39,39,22,46,50,50,36,45,1,10,23,24,45,24,24,1,18,39,54,18,21,54,53,44,41,44,15,15,18,14,14,50,46,50,2,2,2,2,39,46,39,39,38,45,12
Native,40,Carl-Uwe Steeb,44,52,28,50,2,45,32,52,53,53,54,16,39,36,1,1,23,8,12,45,23,32,32,22,19,8,21,10,54,52,1,53,53,15,44,2,2,46,34,15,2,2,44,44,44,44,52,28,50,2,45,32,52
Black,41,Horst Skoff,41,53,24,24,50,6,24,10,52,35,21,22,46,39,2,54,45,1,10,19,6,38,38,32,1,18,18,44,10,10,32,1,29,29,50,53,44,2,2,2,44,44,41,41,41,41,53,24,24,50,6,24,10
Black,42,Jay Berger,50,21,25,36,16,32,6,54,2,52,56,24,16,46,54,22,22,52,8,10,19,12,15,45,22,1,10,1,44,1,29,29,1,53,53,46,46,44,44,44,41,41,50,50,50,50,21,25,36,16,32,6,54
White,43,Omar Camporese,34,56,21,46,54,12,38,1,16,2,28,21,24,16,50,50,52,40,1,12,32,36,12,24,50,22,1,26,2,44,19,19,19,54,54,44,50,50,41,41,10,10,34,34,34,34,56,21,46,54,12,38,1
White,44,Ronald Agenor,10,35,56,16,10,25,8,53,44,56,24,25,35,24,16,46,50,33,52,56,12,25,36,6,24,36,44,52,1,53,54,54,54,46,24,50,24,24,50,10,34,34,10,10,10,10,35,56,16,10,25,8,53
Native,45,Luiz Mattar,54,44,33,10,46,46,12,2,33,16,25,14,25,10,12,2,2,25,33,1,46,8,8,15,15,24,24,39,26,2,2,2,56,56,46,24,41,41,10,34,54,54,54,54,54,54,44,33,10,46,46,12,2
Black,46,Tomas Carbonell,53,33,26,35,22,23,36,26,21,44,33,35,10,35,22,17,33,50,19,46,25,1,25,36,6,26,8,8,52,26,46,56,12,24,10,1,1,16,16,54,16,53,53,53,53,53,33,26,35,22,23,36,26
Pacific Islander,47,Michael Chang,16,20,53,22,35,56,46,19,47,33,37,31,31,25,47,16,46,2,2,8,56,46,46,38,36,15,15,16,53,19,56,12,24,1,1,16,16,54,54,53,53,16,16,16,16,16,20,53,22,35,56,46,19
White,48,Brad Gilbert,56,24,35,47,47,1,44,39,20,37,26,37,36,31,17,47,19,46,30,23,1,22,1,46,46,46,56,24,39,39,12,24,35,16,56,54,54,10,24,16,56,56,56,56,56,56,24,35,47,47,1,44,39
Native,49,Marcelo Filippini,15,16,37,56,31,8,25,24,17,24,35,33,56,56,19,53,47,19,25,2,8,2,2,50,38,6,26,46,24,24,39,35,16,10,16,10,10,53,53,56,15,15,15,15,15,15,16,37,56,31,8,25,24
Asian,50,Stefan Edberg,8,37,16,53,56,16,1,16,37,47,31,56,33,47,35,19,16,22,22,30,2,16,30,56,56,38,46,15,8,16,24,16,46,39,2,56,56,56,56,24,8,8,8,8,8,8,37,16,53,56,16,1,16
Native,51,David Wheaton,24,47,47,31,53,2,2,35,40,40,47,47,47,37,31,31,26,16,16,22,30,30,16,44,44,56,38,56,56,56,35,46,10,8,39,39,53,39,1,8,24,24,24,24,24,24,47,47,31,53,2,2,35
Black,52,Darren Cahill,39,40,44,37,37,30,30,56,26,17,44,17,17,17,56,56,8,47,46,50,22,56,56,31,31,44,53,54,15,18,16,10,2,12,8,8,39,12,8,1,12,39,39,39,39,39,40,44,37,37,30,30,56
Black,53,Goran Prpic,1,17,30,17,33,22,16,18,24,20,30,30,37,53,37,37,31,31,50,16,26,26,31,25,26,31,16,38,46,8,10,8,8,2,12,12,8,8,12,12,39,1,1,1,1,1,17,30,17,33,22,16,18
Black,54,Tim Mayotte,12,30,40,26,17,26,56,8,31,10,53,26,26,26,53,26,40,30,47,25,50,50,26,26,2,16,6,53,16,46,8,39,39,18,18,18,12,1,39,31,1,12,12,12,12,12,30,40,26,17,26,56,8
Native,55,Jimmy Arias,47,10,17,33,26,50,31,46,10,26,40,10,53,40,26,35,53,56,31,31,16,31,50,16,53,53,31,31,38,31,38,38,38,31,31,31,31,31,31,47,47,47,47,47,47,47,10,17,33,26,50,31,46
Native,56,Martin Jaite,31,19,14,40,40,31,26,31,30,19,17,53,40,8,33,33,56,53,56,47,31,47,47,2,47,47,47,47,31,38,18,18,18,35,35,35,47,38,38,38,31,31,31,31,31,31,19,14,40,40,31,26,31
Native,57,Magnus Gustafsson,38,14,31,8,8,47,50,38,19,30,14,40,30,30,44,44,30,37,53,53,47,45,44,35,25,25,35,35,47,35,31,31,31,38,47,47,38,47,47,39,38,38,38,38,38,38,14,31,8,8,47,50,38
Black,58,Boris Becker,30,31,10,30,30,44,47,47,14,14,10,44,8,33,40,30,37,26,35,26,44,35,45,47,16,35,2,25,35,47,47,47,47,47,25,25,25,25,25,30,30,30,30,30,30,30,31,10,30,30,44,47,47
White,59,Ivan Lendl,35,26,19,19,19,35,35,25,56,31,19,8,19,44,30,40,35,35,26,35,35,44,35,30,35,2,25,2,25,25,25,25,25,25,38,38,35,30,30,25,25,35,35,35,35,35,26,19,19,19,35,35,25
Black,60,Andres Gomez,25,8,8,44,44,53,53,30,8,8,8,19,44,19,8,8,44,44,44,44,53,53,53,53,30,30,30,30,30,30,30,30,30,30,30,30,30,35,35,35,35,25,25,25,25,25,8,8,44,44,53,53,30
