_candidate_id,_candidate_name,*region,#R0,#R1,#R2,#R3,#R4,#R5,#R6,#R7,#R8,#R9,#R10,#R11,#R12,#R13,#R14,#R15,#R16,#R17,#R18,#R19,#R20,#R21,#R22,#R23,#R24,#R25,#R26,#R27,#R28,#R29,#R30,#R31,#R32,#R33,#R34,#R35,#R36,#R37,#R38,#R39,#R40,#R41,#R42,#R43,#R44,#R45,#R46,#R47,#R48,#R49,#R50,#R51,#R52,#R53,#R54,#R55,#R56,#R57,#R58,#R59,#R60,#R61,#R62,#R63,#R64,#R65,#R66,#R67,#R68,#R69,#R70,#R71,#R72,#R73,#R74,#R75,#R76,#R77,#R78,#R79,#R80,#R81,#R82,#R83,#R84,#R85,#R86,#R87,#R88,#R89,#R90,#R91,#R92,#R93,#R94,#R95,#R96,#R97,#R98,#R99,#R100,#R101,#R102,#R103,#R104,#R105,#R106,#R107,#R108,#R109,#R110,#R111,#R112,#R113,#R114,#R115,#R116,#R117,#R118,#R119,#R120,#R121,#R122,#R123,#R124,#R125,#R126,#R127,#R128,#R129,#R130,#R131,#R132,#R133,#R134,#R135,#R136,#R137,#R138,#R139,#R140,#R141,#R142,#R143,#R144,#R145,#R146,#R147,#R148,#R149
10,Oklahoma St,South West,38,10,27,36,38,34,38,15,38,9,30,7,38,14,21,38,10,29,29,30,15,15,38,26,38,22,32,9,7,8,28,30,9,15,38,10,30,9,38,34,38,15,9,10,9,29,10,7,22,38,15,9,38,21,38,9,30,38,22,32,30,6,6,30,38,38,10,10,25,10,15,30,30,15,15,38,30,15,26,36,7,30,21,36,30,30,9,26,21,22,9,22,21,21,15,15,6,34,28,9,34,7,38,30,9,6,32,2,36,22,26,9,38,15,10,10,22,30,21,15,22,14,30,21,6,6,15,22,38,22,30,15,9,15,28,30,30,10,15,38,38,38,25,38,6,14,38,30,6,21
11,Cent Arkansas,South East,22,34,7,29,30,26,15,22,29,38,22,27,30,2,15,9,7,38,38,38,22,16,30,6,30,30,7,38,10,38,21,38,29,30,30,7,38,22,30,13,30,22,38,38,29,38,13,10,30,30,22,22,9,2,15,38,38,30,30,6,13,5,10,38,30,8,13,30,22,13,22,38,22,8,34,30,38,22,34,15,13,22,38,29,38,38,38,10,2,10,38,30,26,34,22,22,33,15,21,38,13,13,9,38,38,21,10,25,29,38,13,38,30,22,7,34,10,38,38,22,38,28,38,22,27,7,8,38,30,8,38,22,38,10,14,38,8,34,34,30,30,30,22,30,1,15,30,38,27,26
12,Southern Univ,South East,0,38,10,38,8,7,2,8,30,2,8,34,3,15,16,0,32,30,8,8,2,11,2,27,2,20,10,2,34,22,33,2,14,2,3,34,2,8,2,7,8,38,2,34,15,15,28,15,3,3,8,0,20,28,8,2,8,3,2,15,21,26,7,2,20,22,7,3,20,7,10,8,8,22,10,8,8,8,38,38,5,20,22,1,2,8,2,6,33,15,2,3,6,32,2,2,7,27,33,2,10,5,8,2,2,27,15,9,30,2,6,2,3,8,34,38,15,2,22,20,2,15,8,32,1,21,22,20,8,30,14,38,2,34,15,29,22,38,7,8,2,8,20,3,27,33,8,2,1,6
13,Ball St,Mid West,20,7,13,8,3,38,8,2,2,8,20,39,2,18,18,20,34,8,30,2,8,18,20,19,8,33,34,0,6,1,25,20,30,20,2,32,8,20,20,26,3,32,8,7,30,8,15,34,8,8,20,2,2,18,1,8,2,2,20,13,7,10,34,8,3,1,34,2,2,26,28,14,20,20,6,3,14,20,6,30,6,8,6,8,8,3,20,7,15,28,8,20,27,6,20,8,26,13,25,14,15,15,20,20,8,1,34,14,8,14,10,8,8,20,32,6,28,3,32,8,20,2,3,38,21,5,20,2,2,20,8,32,14,6,2,8,20,7,13,14,3,2,2,8,34,18,3,3,26,19
14,Oregon St,West,2,6,26,20,20,32,29,20,8,14,2,1,20,39,39,8,38,2,14,14,20,33,8,21,3,2,13,14,22,16,11,29,2,3,8,38,14,29,8,15,2,6,14,32,1,1,22,6,14,14,2,20,29,26,2,29,14,20,3,34,28,19,13,14,2,16,26,20,8,15,13,2,33,2,22,2,20,2,32,2,15,2,32,16,14,14,29,27,26,7,14,8,34,27,8,20,39,21,18,8,36,6,29,8,14,34,6,22,1,8,5,14,20,29,38,13,7,20,6,33,0,18,14,6,34,34,29,0,3,2,20,6,8,22,0,2,29,32,32,3,33,14,8,14,19,16,14,14,34,27
15,San Diego St,West,8,32,36,2,2,13,20,29,1,0,33,13,33,33,33,2,13,20,2,3,29,2,29,34,13,8,6,8,38,20,6,8,8,8,20,13,3,2,3,27,14,7,29,6,20,2,34,13,2,20,29,8,0,33,30,20,3,33,8,7,22,7,38,3,33,3,28,33,0,27,7,3,3,29,32,33,2,0,7,20,22,33,34,20,3,2,14,38,11,13,3,2,19,7,29,29,36,28,11,20,27,22,2,3,20,26,13,24,2,20,7,3,2,2,13,7,13,8,34,2,14,39,2,34,26,10,2,8,33,29,2,7,0,32,16,20,2,6,6,2,8,3,29,20,13,2,20,8,39,34
16,Furman,South East,29,22,2,21,14,6,0,1,0,20,3,33,8,23,0,29,6,21,1,20,3,26,0,33,33,3,22,20,32,30,39,0,20,33,13,6,0,0,0,28,20,34,20,2,14,20,5,22,33,2,0,29,8,15,20,21,29,13,33,27,6,30,27,20,8,20,27,8,3,28,5,20,2,33,38,14,3,29,13,1,34,3,13,26,20,20,0,13,18,34,20,33,30,13,3,0,19,22,15,0,28,34,0,14,0,39,22,35,20,3,21,20,14,0,22,32,34,0,28,3,8,23,20,28,19,15,3,14,14,3,3,34,20,38,39,1,3,22,38,33,13,20,0,2,10,26,2,20,19,30
17,Louisiana,South East,14,2,28,1,33,27,14,21,20,3,29,19,35,28,2,14,22,0,0,29,1,0,3,15,20,0,28,3,2,3,0,14,1,13,33,22,20,14,14,32,33,28,3,22,3,3,27,27,20,33,3,14,21,6,3,0,20,8,29,38,34,15,32,0,13,2,32,13,33,32,34,29,29,3,13,20,33,14,2,3,19,0,28,14,0,0,8,32,0,5,0,13,10,38,1,3,10,19,0,3,32,10,21,0,3,19,27,32,3,0,27,29,33,21,6,2,5,14,13,0,3,33,0,7,39,28,0,3,20,33,33,28,3,13,18,14,0,2,22,20,20,0,14,33,21,39,33,0,13,10
18,Southern Utah,West,3,13,32,14,0,22,3,3,3,29,0,30,13,16,26,21,2,1,3,0,0,39,14,13,14,29,5,29,13,2,26,3,0,0,14,2,29,21,35,38,0,13,0,13,8,21,7,28,13,0,14,3,14,0,16,14,0,35,13,28,10,13,22,33,35,30,2,35,29,38,27,0,0,0,27,35,0,3,22,16,10,29,7,3,29,29,3,22,28,19,29,0,33,22,13,14,30,7,6,29,2,28,14,29,29,13,28,21,16,29,22,0,0,14,28,22,27,35,7,29,29,16,29,13,30,12,14,29,13,0,0,13,29,27,33,21,33,13,27,35,14,33,3,0,39,28,0,35,21,33
19,Dartmouth,North East,35,28,38,3,29,28,21,33,14,35,14,10,14,0,23,3,28,26,20,35,33,23,33,10,0,35,38,35,27,21,15,35,21,14,0,28,35,3,29,22,29,27,35,28,21,13,6,38,0,35,1,7,35,39,17,26,33,14,0,5,12,39,2,13,7,14,38,0,14,22,19,35,14,21,2,13,35,33,27,21,28,21,27,0,13,35,35,2,23,27,35,14,39,28,33,1,13,1,39,35,38,12,3,13,13,30,38,0,13,35,28,35,13,3,27,28,19,7,27,14,35,0,35,2,13,22,1,35,35,1,35,27,35,2,23,3,1,28,28,0,35,35,33,29,30,0,29,13,15,39
20,W Michigan,Mid West,26,27,19,26,13,2,1,13,17,13,1,21,0,26,28,1,27,3,21,7,14,6,13,39,35,7,27,17,28,26,18,13,16,29,35,27,13,26,33,2,7,2,7,27,26,14,19,5,35,29,21,35,3,11,21,3,35,0,14,22,33,21,28,35,0,21,22,7,35,2,38,33,1,14,28,7,29,21,28,0,12,1,2,32,33,7,13,28,6,6,7,29,13,19,0,21,15,5,26,7,22,19,26,35,35,15,5,5,21,7,19,33,29,1,2,27,6,29,2,35,17,22,33,27,15,39,33,7,0,14,29,2,17,28,26,0,21,27,2,13,0,29,21,35,33,23,35,33,28,13
21,Hawaii,West,7,19,22,0,35,19,13,0,21,7,21,24,7,6,6,26,5,16,17,33,21,28,35,30,29,14,2,7,33,14,23,21,3,7,29,5,33,33,13,19,13,11,13,19,16,0,38,19,29,13,33,26,26,23,0,13,13,7,7,19,38,33,33,29,14,26,19,14,7,19,6,7,21,1,19,0,13,1,19,13,38,14,11,2,35,33,7,33,39,1,17,35,15,5,14,26,38,6,23,17,19,38,1,33,33,28,19,20,14,17,38,13,35,33,19,19,1,13,39,1,7,26,7,11,28,38,21,17,29,21,13,11,7,19,22,17,14,19,5,29,7,7,35,7,15,22,7,29,30,15
22,South Florida,South East,17,11,5,13,7,1,26,14,26,21,7,15,37,22,19,4,19,17,26,13,13,19,21,28,7,1,19,13,5,0,1,7,26,35,7,19,7,35,7,5,35,39,21,5,7,32,1,2,7,7,26,21,33,38,13,1,7,37,21,2,39,22,19,7,29,13,5,29,21,5,1,13,7,13,5,29,7,35,1,17,39,7,39,24,7,13,21,19,19,38,32,7,22,1,21,33,21,38,1,33,5,39,4,7,7,10,2,23,32,32,39,7,7,32,5,11,38,33,1,7,13,38,13,39,10,19,32,4,7,7,7,39,13,5,38,26,13,11,19,7,29,13,7,13,28,6,13,7,10,22
23,TN Martin,South East,4,5,23,16,4,5,33,16,13,33,35,28,29,38,22,7,33,14,16,32,26,1,7,22,37,13,33,21,19,13,31,33,32,21,37,39,17,32,21,23,37,1,33,11,32,16,39,1,17,4,7,1,7,4,32,35,17,29,35,39,19,38,39,17,37,0,23,17,26,23,2,17,35,32,33,4,32,7,33,26,33,35,1,30,17,32,17,39,38,2,13,32,28,2,26,13,24,2,31,13,23,33,33,17,17,24,1,31,26,13,1,21,4,26,1,5,2,17,33,21,1,6,32,1,24,24,7,26,37,26,4,19,33,33,6,13,32,5,39,17,37,17,1,32,22,38,32,17,24,28
24,Holy Cross,North East,21,39,11,17,37,39,7,26,31,17,32,38,26,19,4,35,39,13,7,4,32,22,17,2,17,21,1,32,39,17,38,26,17,17,32,1,21,1,32,11,4,19,32,33,23,26,2,39,37,32,32,4,13,31,14,4,21,32,32,1,27,28,5,32,32,17,11,32,1,11,39,32,13,7,39,37,21,26,39,31,1,13,33,21,21,17,33,1,4,39,33,21,2,39,7,7,28,39,22,32,11,1,32,21,21,12,39,26,17,33,33,17,37,7,39,39,39,21,11,26,21,19,4,33,12,33,26,13,21,32,32,1,32,39,19,32,26,1,33,32,4,32,17,4,24,1,37,32,38,2
25,Richmond,South East,1,1,39,4,32,33,32,32,7,32,13,12,4,4,38,17,1,35,13,21,16,38,32,38,32,26,39,33,1,31,4,32,7,32,21,33,32,13,17,31,32,16,26,1,31,33,9,33,32,37,35,17,17,1,26,33,32,16,37,33,1,24,1,26,1,32,31,1,13,31,9,21,32,16,1,32,4,32,23,14,27,26,19,17,32,37,32,5,22,9,26,1,24,33,16,35,22,9,38,21,31,27,7,1,26,38,33,7,33,21,12,4,32,17,33,23,9,32,19,13,33,24,17,19,38,27,17,21,4,13,21,16,1,1,1,31,7,39,1,37,17,21,26,37,38,4,26,21,22,24
26,East Carolina,South East,33,33,9,35,21,23,35,7,35,4,26,22,1,1,1,32,11,7,35,17,7,4,1,24,21,32,11,1,11,11,22,17,13,1,16,11,1,7,1,9,21,33,17,39,4,31,33,11,26,17,16,32,4,19,31,16,26,21,1,24,24,2,11,37,21,7,9,37,17,9,31,26,26,35,11,17,17,16,5,32,24,37,16,35,26,21,26,23,1,31,21,37,38,24,35,32,2,33,4,26,39,24,13,32,32,22,11,38,0,26,24,32,21,13,11,1,31,1,31,17,32,1,21,16,22,1,16,32,17,16,17,33,26,11,24,7,16,23,11,21,32,4,13,17,2,19,17,37,2,38
27,Villanova,North East,32,23,33,32,17,11,16,35,16,26,16,2,32,24,24,33,23,31,31,26,35,24,26,12,4,37,9,4,23,32,24,4,31,37,1,23,37,4,26,39,17,31,4,23,24,7,31,9,1,26,4,33,32,22,33,7,16,17,17,11,2,9,23,1,17,33,39,21,32,39,33,37,17,26,23,21,26,13,11,35,2,32,5,13,1,26,4,11,24,33,16,17,12,9,32,16,9,31,24,16,9,2,35,16,4,2,9,17,7,16,2,26,17,16,23,33,33,37,5,32,4,4,37,5,2,2,35,1,32,35,37,31,21,16,4,16,35,33,23,4,26,16,32,26,9,24,31,16,12,12
28,West Virginia,North East,13,16,20,7,26,9,17,24,32,37,37,9,21,31,31,31,31,32,11,37,34,31,37,9,1,4,24,24,16,7,20,37,24,16,17,31,16,16,37,25,26,5,37,16,0,17,24,24,4,31,13,31,1,24,7,34,37,1,16,9,25,25,9,21,16,11,25,16,4,25,25,31,16,37,16,16,37,17,9,7,25,17,31,33,37,4,1,9,31,25,24,16,9,23,24,4,25,24,20,4,25,25,17,37,37,9,24,13,35,24,25,16,31,35,9,16,25,16,16,37,26,31,26,31,9,25,13,33,16,17,26,5,24,23,31,35,17,16,9,26,1,37,16,31,12,31,21,1,9,9
29,LSU,South East,16,9,25,31,31,31,31,34,34,16,4,25,17,20,9,24,9,24,32,16,17,9,16,25,26,17,12,26,9,35,19,16,4,26,4,9,26,17,16,20,31,24,16,9,13,34,11,31,21,21,17,16,16,20,35,32,31,4,26,23,9,12,24,4,26,35,20,4,16,20,11,4,37,17,9,26,16,4,18,24,9,16,24,31,16,16,16,24,20,11,4,26,25,11,34,34,12,11,7,24,20,9,16,26,1,25,31,18,31,4,9,37,26,4,31,9,11,26,24,16,24,20,16,24,25,9,34,16,26,4,31,24,4,9,20,33,4,9,31,31,16,26,4,21,25,20,4,26,25,25
30,USC,West,24,31,31,34,16,24,34,31,33,1,17,23,16,7,20,16,12,34,33,31,31,20,4,23,16,16,31,16,31,24,13,1,11,4,26,16,31,37,4,33,16,35,31,31,35,35,25,12,16,16,34,13,37,12,24,17,1,26,4,25,23,23,31,16,4,31,33,26,37,33,24,16,4,4,31,31,31,37,25,33,23,4,35,7,4,31,37,31,12,24,1,4,23,25,4,24,23,25,13,1,33,23,34,4,16,23,25,34,34,1,23,1,16,31,16,31,24,4,25,4,16,13,31,25,23,23,37,37,1,37,16,35,16,31,7,34,34,31,24,16,21,31,37,16,23,9,16,4,23,23
31,Towson,North East,34,25,16,33,1,25,24,4,4,31,24,11,24,13,7,13,16,4,24,1,24,13,31,31,31,34,25,37,24,33,12,31,35,31,31,12,4,31,31,16,1,25,1,25,19,24,23,25,31,1,24,24,34,7,34,24,4,31,31,12,31,11,25,24,31,24,16,31,34,16,16,1,34,31,24,1,1,31,31,34,31,34,25,11,24,1,31,25,9,12,31,31,31,31,17,17,31,23,19,31,16,31,31,31,24,31,12,1,24,31,18,31,1,34,12,18,12,24,35,34,37,7,1,12,31,11,4,24,31,24,1,25,37,24,13,4,24,25,12,1,31,1,34,1,11,13,1,24,31,31
32,James Madison,North East,31,24,18,24,24,18,4,11,24,24,31,31,31,9,12,34,25,33,4,24,18,5,34,11,24,24,23,31,25,12,7,34,23,24,24,25,24,24,34,1,24,12,24,12,18,18,12,23,24,24,31,37,31,9,11,31,24,24,34,31,11,31,16,31,34,34,1,34,24,1,12,24,24,24,25,24,24,24,16,11,11,24,12,19,31,24,24,18,7,23,37,34,35,12,31,31,35,18,12,37,18,11,24,24,31,11,23,37,4,37,11,24,24,24,25,25,23,34,18,31,34,9,24,35,11,31,31,31,24,34,24,12,31,25,9,24,37,18,25,34,24,24,31,24,31,12,24,31,11,11
33,Maine,North East,37,18,24,18,34,12,11,17,11,34,34,35,34,12,3,11,24,11,34,34,11,17,24,35,34,31,16,34,12,19,9,24,33,34,34,24,34,34,24,18,34,23,34,24,33,11,16,16,34,34,18,34,24,3,37,11,34,34,24,16,16,35,12,34,24,19,18,24,31,18,23,34,31,34,35,34,34,34,24,37,3,31,18,4,34,34,34,35,13,16,34,24,11,18,11,18,11,12,9,34,1,3,18,34,34,35,16,3,18,34,31,34,34,11,24,24,16,31,12,24,31,12,34,23,35,16,11,34,34,18,34,23,34,35,12,18,18,24,16,24,34,34,24,34,35,7,34,34,35,35
34,McNeese St,South East,11,12,3,37,18,16,18,18,37,11,18,18,11,3,13,18,18,37,19,11,4,3,11,16,11,11,35,11,35,34,17,18,19,18,11,18,11,11,18,3,18,20,11,18,34,4,18,35,11,18,11,11,11,17,4,23,11,11,18,18,3,18,35,11,18,37,3,18,11,24,3,11,11,18,12,18,18,11,35,4,35,11,23,12,11,11,11,16,3,3,11,18,16,16,18,11,18,3,17,11,24,16,11,11,11,16,35,4,11,11,3,11,18,18,35,12,3,11,20,11,11,3,11,20,16,18,18,11,18,11,18,20,11,12,3,11,11,12,18,18,18,11,11,18,18,3,18,11,16,16
35,Valparaiso,Mid West,18,35,1,11,11,35,37,37,19,18,11,3,18,37,17,37,35,18,23,18,12,12,18,18,18,18,18,18,3,4,3,11,34,11,18,35,18,18,11,24,11,9,18,35,12,37,3,18,18,11,37,18,18,13,12,18,18,18,19,35,35,3,18,18,19,12,24,11,18,3,18,18,18,11,3,11,11,18,20,18,16,19,20,34,18,18,18,20,17,18,18,19,18,35,12,37,3,16,3,5,3,35,37,18,18,18,18,11,37,5,35,18,11,37,18,35,18,18,23,19,18,17,18,9,18,3,24,18,11,31,11,9,5,3,17,37,31,35,35,11,11,18,18,11,16,8,11,18,18,18
36,Baylor,South West,19,20,35,23,19,20,5,12,18,23,19,16,19,5,5,23,20,23,37,23,37,7,19,3,19,19,3,5,18,37,5,23,37,19,19,20,19,23,19,35,19,18,23,20,37,12,35,3,19,19,23,23,23,5,18,37,19,19,11,3,18,16,20,19,11,4,35,19,19,35,35,19,19,12,18,19,19,19,12,12,18,18,9,18,19,23,23,3,8,35,5,11,3,20,37,23,16,20,5,18,35,18,23,19,23,3,3,19,12,18,16,23,19,19,20,20,35,19,9,18,5,37,23,18,3,35,19,19,19,12,19,18,18,18,37,19,12,20,20,19,19,19,19,19,3,5,19,19,3,3
37,Delaware St,North East,23,3,12,12,23,3,12,23,23,5,12,4,5,17,8,5,3,12,18,5,19,8,23,20,23,12,20,23,20,23,8,19,18,12,23,3,23,12,23,12,23,3,5,3,17,23,20,20,5,23,19,5,19,8,19,12,23,23,12,20,4,20,3,5,12,18,12,12,23,12,20,23,12,19,20,23,23,23,3,19,4,12,3,37,23,19,19,12,5,20,23,12,20,3,23,5,20,35,8,23,12,4,12,5,19,4,20,33,23,23,20,5,23,12,3,3,20,23,3,12,23,5,19,3,4,4,12,5,23,19,23,3,23,20,5,23,19,3,3,23,23,23,5,23,20,17,23,23,4,20
38,Louisiana Tech,South East,5,4,4,19,5,4,23,19,12,19,23,20,23,8,37,19,4,19,12,19,23,37,5,4,5,23,4,19,4,18,37,5,5,23,12,4,5,19,5,4,5,37,19,4,11,19,4,4,23,5,12,19,12,37,23,19,5,12,23,4,20,37,4,23,23,23,4,23,5,4,4,5,5,23,4,5,5,5,4,23,20,23,37,5,5,5,5,4,37,4,19,5,4,4,19,12,37,37,37,19,4,20,19,23,5,37,4,16,19,19,4,19,5,5,4,4,4,5,37,5,19,8,5,37,37,20,5,23,5,23,5,37,19,4,8,12,23,4,4,5,5,5,12,5,4,37,5,5,37,4
39,Rhode Island,North East,12,37,37,5,12,37,19,5,5,12,5,37,12,35,35,12,37,5,5,12,5,35,12,37,12,5,37,12,37,5,35,12,12,5,5,37,12,5,12,37,12,4,12,37,5,5,37,37,12,12,5,12,5,35,5,5,12,5,5,37,37,4,37,12,5,5,37,5,12,37,37,12,23,5,37,12,12,12,37,5,37,5,4,23,12,12,12,37,35,37,12,23,37,37,5,19,4,4,35,12,37,37,5,12,12,20,37,12,5,12,37,12,12,23,37,37,37,12,4,23,12,35,12,4,20,37,23,12,12,5,12,4,12,37,35,5,5,37,37,12,12,12,23,12,37,35,12,12,20,37
