_candidate_id,_candidate_name,*region,#R2022_scores_overall,#R2023_scores_research,#R2024_scores_research,#R2021_intl outlook score,#R2019_stats_pc_intl_students,#R2017_scores_research,#R2023_stats_pc_intl_students,#R2021_overall score,#R2019_scores_overall,#R2022_scores_industry_income,#R2018_scores_overall,#R2023_scores_international_outlook,#R2018_scores_citations,#R2023_scores_citations,#R2019_scores_citations,#R2018_scores_research,#R2017_stats_pc_intl_students,#R2020_Teaching,#R2017_scores_international_outlook,#R2022_scores_international_outlook,#R2021_citations score,#R2020_International_Students,#R2020_Research,#R2020_International_Outlook,#R2020_Industry_Income,#R2024_scores_overall,#R2019_scores_teaching,#R2024_scores_teaching,#R2017_scores_industry_income,#R2024_scores_international_outlook,#R2023_scores_industry_income,#R2018_scores_industry_income,#R2019_scores_international_outlook,#R2022_scores_teaching,#R2018_scores_teaching,#R2023_scores_teaching,#R2020_Citations,#R2018_scores_international_outlook,#R2021_industry income score,#R2024_scores_citations,#R2022_stats_pc_intl_students,#R2021_teaching score,#R2019_scores_industry_income,#R2020_Score_Result,#R2021_research score,#R2022_scores_research,#R2024_stats_pc_intl_students,#R2017_scores_overall,#R2018_stats_pc_intl_students,#R2017_scores_citations,#R2024_scores_industry_income,#R2022_scores_citations,#R2023_scores_overall,#R2019_scores_research,#R2017_scores_teaching
10,"University of California, Los Angeles",West,10,9,9,7,80,13,86,9,10,32,12,11,15,33,23,11,25,12,59,8,15,57,13,11,91,10,7,11,44,16,6,91,35,7,8,11,7,11,6,6,57,7,91,10,13,6,57,7,103,23,6,33,11,13,12
11,Cornell University,North East,11,11,11,11,99,14,58,11,12,27,8,27,65,14,15,13,79,7,95,11,14,96,11,7,1,11,13,13,18,19,35,39,70,12,13,7,16,59,35,18,66,12,1,11,11,11,84,12,66,41,44,18,10,11,11
12,Duke University,South East,12,13,13,38,85,7,103,12,11,6,11,41,27,0,27,8,80,11,64,7,6,53,14,35,35,13,11,7,52,7,44,35,8,11,11,13,9,95,14,23,78,13,39,12,14,13,25,11,80,18,38,0,13,14,13
13,University of Michigan-Ann Arbor,Mid West,13,17,16,8,96,16,92,13,13,19,14,7,9,11,9,16,99,13,5,27,5,103,16,38,39,16,8,12,35,27,3,58,38,13,7,12,6,27,19,9,99,11,35,13,9,17,46,14,85,12,3,14,17,9,7
14,Northwestern University,Mid West,14,15,17,70,103,21,66,14,16,39,13,17,41,9,7,9,83,17,0,38,9,99,9,70,19,15,17,15,19,5,1,1,5,17,17,17,0,38,39,7,85,17,52,14,16,14,92,13,62,15,19,9,12,16,14
15,University of Washington,West,17,16,15,35,93,15,104,17,14,35,16,51,18,5,33,12,82,14,27,51,7,93,15,8,38,12,15,16,1,51,19,19,27,14,14,14,14,5,3,27,80,14,19,15,17,16,99,16,83,9,10,11,15,15,17
16,Carnegie Mellon University,North East,16,14,21,100,62,12,80,16,17,95,15,100,6,6,6,15,85,15,29,100,11,85,18,100,3,17,22,17,48,61,38,3,29,15,22,15,18,8,10,10,94,15,38,16,15,15,40,15,93,6,39,7,14,18,16
17,New York University,North East,15,21,19,27,66,19,85,15,15,16,17,38,5,7,12,18,93,22,38,17,0,66,21,5,52,14,14,14,80,38,91,6,100,20,15,21,54,100,57,12,93,22,3,17,12,12,89,17,94,10,26,6,16,12,15
18,"University of California, San Diego",West,18,18,14,51,106,9,78,18,18,52,18,91,7,44,18,19,96,20,11,35,12,80,17,27,58,18,16,24,58,100,10,21,63,22,16,20,10,63,5,44,97,20,58,18,18,21,86,19,106,7,91,5,18,17,22
19,Georgia Institute of Technology,South East,19,12,18,17,97,22,94,19,19,44,19,6,12,27,41,21,66,16,63,70,27,94,12,51,30,19,20,21,31,17,95,26,17,21,21,16,5,26,52,0,83,16,95,19,21,18,83,21,89,5,51,54,19,19,24
20,University of Texas at Austin,South West,20,19,12,5,102,32,93,20,20,10,21,35,33,54,14,17,72,23,26,5,10,89,19,29,95,21,24,22,16,6,57,44,64,16,24,24,12,51,91,33,79,29,30,20,19,20,58,18,97,28,52,27,21,20,21
21,University of Illinois at Urbana-Champaign,Mid West,21,20,20,26,94,17,83,21,22,5,22,5,10,12,10,22,97,24,74,6,25,97,20,95,40,20,18,18,20,70,30,30,51,25,18,23,25,29,95,13,89,21,47,21,20,22,66,22,76,65,58,10,20,21,20
22,University of Wisconsin-Madison,Mid West,23,26,26,6,83,26,79,22,21,30,20,70,11,10,5,35,62,21,8,26,54,76,22,17,5,26,21,20,30,91,16,47,6,24,35,19,11,12,44,17,106,24,26,22,22,19,72,27,102,33,95,12,23,22,25
23,Washington University in St Louis,Mid West,25,35,22,95,89,35,97,23,27,65,24,26,46,17,11,20,89,18,16,18,17,106,31,6,31,22,23,35,83,26,5,56,14,29,26,18,17,64,30,28,16,23,5,23,26,35,85,20,16,11,16,25,24,35,26
24,Brown University,North East,22,22,35,63,76,18,89,29,24,56,23,12,28,38,25,32,106,26,81,12,48,83,26,64,26,24,19,26,21,54,39,80,34,18,20,37,27,6,16,19,76,25,80,24,35,26,53,24,54,14,65,17,26,27,18
25,University of North Carolina at Chapel Hill,South East,28,27,27,12,54,20,16,28,23,91,27,54,14,13,28,31,102,19,51,54,13,16,35,63,10,23,25,19,56,56,15,16,0,23,23,26,37,34,38,25,51,26,31,25,25,25,80,26,100,44,5,44,27,26,19
26,"University of California, Davis",West,29,25,53,10,16,31,17,25,25,38,26,18,44,25,17,26,94,25,34,28,37,100,27,28,16,27,35,25,26,63,47,31,28,37,19,22,28,28,47,54,9,18,56,26,28,31,104,32,2,24,47,13,29,31,23
27,"University of California, Santa Barbara",West,24,52,25,28,9,36,19,24,26,47,32,14,24,28,44,36,76,37,12,29,45,9,25,14,56,25,37,32,6,35,26,10,10,26,37,25,44,81,56,38,17,19,84,27,52,28,94,25,9,25,56,28,25,25,32
28,Boston University,North East,26,29,24,29,100,27,106,26,35,57,25,28,25,48,46,25,16,30,24,14,28,2,32,10,47,29,26,23,3,14,40,84,26,19,25,29,45,0,58,36,100,28,40,28,27,27,93,23,105,46,21,38,28,32,28
29,University of Southern California,West,27,24,29,64,2,29,76,27,29,84,35,63,17,19,13,27,100,35,10,10,39,17,29,18,84,28,32,28,15,12,65,20,12,34,32,34,43,10,26,29,0,37,21,29,32,52,79,29,77,13,30,37,22,36,37
30,Ohio State University (Main campus),Mid West,33,36,31,14,17,25,9,30,32,26,29,101,20,45,37,23,2,28,14,101,44,51,36,34,80,32,30,29,57,18,56,95,95,28,28,28,24,14,40,43,2,35,10,30,31,29,78,28,51,17,84,24,33,24,35
31,Penn State (Main campus),North East,30,32,32,18,105,53,51,33,30,40,36,10,13,43,43,29,9,39,70,63,18,0,23,26,57,35,34,37,98,10,52,15,24,35,30,35,13,24,84,65,105,30,8,31,36,32,16,36,41,29,35,45,38,23,30
32,University of Minnesota,Mid West,32,23,36,56,65,23,100,32,28,51,28,56,29,29,24,24,77,34,98,64,24,65,34,49,21,44,28,41,84,29,20,4,59,32,34,39,38,70,21,20,65,32,20,32,23,23,17,31,19,43,4,43,44,29,39
33,Emory University,South East,36,28,23,34,51,24,0,36,31,80,30,23,43,61,19,53,105,33,15,56,43,105,24,56,13,38,33,30,22,28,58,13,18,33,31,32,48,73,80,24,28,39,4,33,29,36,97,35,0,37,40,48,32,30,31
34,Michigan State University,Mid West,34,34,52,54,0,30,2,35,36,20,31,29,19,77,20,30,51,32,83,95,38,41,30,12,65,30,39,52,4,101,84,57,73,39,52,52,62,15,79,42,18,52,60,34,24,24,106,30,4,38,57,19,36,53,42
35,Purdue University West Lafayette,Mid West,38,53,28,101,41,43,28,38,33,21,34,64,38,36,38,34,0,31,28,49,29,61,28,24,15,33,52,53,10,15,80,40,15,30,42,33,39,30,60,45,7,33,16,35,34,34,9,43,17,81,80,77,34,34,52
36,"University of Maryland, College Park",South East,37,31,38,49,19,34,65,37,41,4,41,24,36,24,29,52,41,29,13,23,77,28,53,54,44,36,42,34,53,23,21,22,81,52,39,30,41,13,13,46,41,34,15,36,30,30,51,37,81,63,46,42,30,52,53
37,Dartmouth College,North East,35,38,30,24,28,49,105,34,34,13,37,15,81,37,39,43,19,42,30,34,46,19,52,15,60,34,29,44,38,95,4,5,49,50,47,50,20,98,4,30,61,31,53,37,40,53,2,33,61,20,33,29,37,38,33
38,"University of California, Irvine",West,44,30,34,15,4,28,7,44,38,58,33,95,37,39,45,49,81,52,17,24,51,7,40,73,4,53,31,56,95,24,51,83,56,42,53,53,29,49,33,51,38,42,44,38,53,49,0,41,73,62,20,56,35,49,27
39,Georgetown University,North East,31,49,46,59,61,52,18,31,37,60,38,49,63,56,36,47,4,50,73,15,19,38,49,30,20,41,53,31,65,49,79,64,30,31,27,44,46,56,20,49,98,50,22,39,47,38,61,38,28,59,69,36,45,47,34
40,University of Arizona,South West,45,44,40,30,7,38,38,42,42,33,46,34,62,20,42,28,73,40,33,30,42,73,47,13,22,31,27,33,9,64,90,106,98,36,29,74,77,84,65,48,19,47,13,40,49,40,100,34,3,36,13,20,39,28,36
41,Rice University,South West,42,40,44,73,81,46,41,39,39,79,43,30,59,51,63,46,17,47,56,33,20,29,38,59,8,56,41,39,5,34,13,65,13,47,50,59,51,74,15,56,11,44,74,41,38,47,65,39,7,19,59,39,43,43,29
42,University of Virginia (Main campus),South East,39,46,56,13,73,40,61,45,43,9,44,59,51,42,48,38,70,53,48,59,36,3,50,33,79,52,50,50,104,81,33,38,74,44,36,45,42,17,22,32,4,74,65,42,46,33,76,44,70,73,42,46,41,46,50
43,University of Pittsburgh-Pittsburgh campus,North East,49,33,49,33,29,37,11,41,46,22,42,83,45,47,51,66,7,48,71,13,67,11,46,71,41,51,55,45,60,83,22,60,23,45,44,36,19,33,9,26,29,41,83,43,50,44,28,46,11,45,86,41,46,40,45
44,Vanderbilt University,South East,41,43,43,23,11,50,81,40,44,59,47,33,73,46,77,41,61,41,6,50,41,21,43,81,33,46,47,48,77,50,59,74,33,74,33,42,36,21,53,57,21,40,9,44,44,50,19,42,35,77,22,51,52,50,44
45,Case Western Reserve University,Mid West,43,45,33,71,21,47,4,46,49,64,39,50,42,41,22,37,3,44,53,83,62,4,42,23,53,43,45,42,13,33,83,71,71,53,43,31,67,83,64,41,45,53,41,45,42,46,7,45,29,51,79,30,31,42,43
46,University of Colorado Boulder,West,51,50,41,87,3,60,8,43,45,83,49,13,21,67,56,44,29,55,49,55,56,45,60,87,9,40,48,51,74,13,71,79,48,41,41,48,30,71,86,34,8,36,62,46,43,85,81,49,21,21,71,62,48,41,48
47,Indiana University,Mid West,40,51,51,81,38,33,12,47,47,28,52,81,56,72,81,42,21,45,21,61,30,18,44,84,25,37,36,36,94,59,23,41,84,40,46,55,56,48,76,55,3,45,42,47,60,43,41,52,12,48,62,67,51,66,74
48,Tufts University,North East,52,37,50,50,70,66,23,51,48,53,50,55,57,30,57,33,35,27,61,91,57,35,33,55,76,45,43,43,41,30,60,33,87,49,55,41,57,23,90,40,1,55,79,48,33,45,38,48,1,22,23,63,49,60,55
49,Arizona State University (Tempe),South West,46,42,71,84,1,39,98,52,52,15,51,60,77,55,49,60,1,43,54,81,55,81,66,50,83,42,44,40,73,55,64,73,21,55,45,43,63,53,41,63,12,48,33,49,45,42,45,50,38,49,15,40,42,33,41
50,University of Notre Dame,Mid West,47,41,37,91,45,45,1,48,40,71,45,73,48,99,62,40,64,36,50,73,40,70,37,21,62,49,51,59,33,87,86,104,50,43,40,40,40,18,71,22,6,27,71,50,66,37,4,54,5,32,60,57,47,44,47
51,University of Rochester,North East,48,47,85,53,35,41,6,50,51,86,53,21,30,62,73,50,98,46,87,60,63,1,45,53,86,39,46,55,64,60,54,76,55,48,48,46,22,54,25,72,81,43,64,51,69,51,11,47,6,70,28,32,40,37,51
52,University of Florida,South East,50,69,45,55,24,42,3,49,54,62,40,87,32,57,30,69,5,59,55,84,22,6,41,60,71,48,38,27,79,45,25,9,53,59,38,47,21,50,104,21,70,51,25,52,37,69,29,51,24,57,53,26,53,69,59
53,Texas A&M University,South West,53,71,42,61,68,44,68,55,53,25,54,53,39,63,21,39,24,51,90,53,26,49,69,83,64,47,40,47,76,47,42,77,83,27,59,49,79,47,62,39,23,59,86,53,41,66,98,40,65,26,43,49,56,45,40
54,"University of California, Santa Cruz",West,54,66,54,83,49,69,21,53,50,77,48,61,49,73,59,97,6,38,18,21,79,68,39,47,45,50,75,38,71,82,62,53,54,51,58,27,26,87,46,47,35,46,73,54,71,41,1,63,68,42,25,21,54,54,38
55,George Washington University,North East,55,84,60,60,33,54,70,60,55,23,59,82,22,32,32,54,54,58,39,87,59,5,85,61,104,54,88,46,42,53,53,42,47,46,51,38,59,55,42,73,5,38,51,55,85,71,3,56,45,30,90,73,59,39,46
56,University of Massachusetts,North East,56,48,66,21,23,85,29,56,61,41,56,71,26,59,26,45,65,62,47,82,32,91,71,45,46,55,58,58,62,21,76,43,60,38,49,58,32,61,28,37,68,75,37,56,51,60,21,53,33,56,17,72,55,64,75
57,University of Utah,West,59,60,57,47,18,56,91,59,64,46,63,47,40,26,40,71,28,75,66,47,76,33,54,91,42,58,49,71,25,44,9,51,61,85,66,51,58,39,77,61,73,58,76,57,64,39,23,59,49,39,9,22,50,71,58
58,University of Iowa,Mid West,67,39,47,45,6,48,5,57,63,42,57,45,70,49,55,51,74,88,23,45,72,24,57,90,90,59,59,90,54,22,17,25,45,58,75,75,73,90,51,74,24,85,104,58,39,74,8,61,64,40,64,55,74,58,66
59,University of Miami,South East,57,57,39,82,5,63,24,58,58,76,55,42,50,76,70,92,33,78,42,71,21,14,48,48,28,57,62,70,92,48,46,86,90,75,88,56,49,82,83,76,91,78,63,59,74,84,6,62,98,76,29,76,63,57,88
60,Virginia Polytechnic Institute and State University,South East,65,64,58,90,48,91,73,54,56,43,58,22,34,34,72,57,11,49,69,90,73,23,74,80,77,70,64,57,63,73,41,102,91,88,64,77,55,66,45,31,33,77,45,60,55,64,68,71,90,31,41,58,65,92,56
61,Brandeis University,North East,58,56,55,42,91,71,14,61,59,90,73,69,47,22,76,58,90,72,104,42,58,12,84,82,59,71,78,74,102,69,43,36,68,77,57,71,76,42,43,59,39,88,102,61,48,48,5,57,14,47,54,94,57,84,49
62,Wake Forest University,South East,60,59,63,48,14,94,45,62,57,54,66,48,31,40,79,48,38,57,80,48,49,39,64,42,37,60,92,75,37,90,77,62,80,71,74,90,34,91,59,67,101,62,57,62,84,59,91,73,18,34,76,34,60,85,77
63,"University of California, Riverside",West,66,54,48,68,98,73,35,65,62,102,61,68,69,21,58,85,45,56,91,22,70,55,55,68,51,63,66,86,43,71,102,54,42,78,92,88,81,45,23,70,26,72,68,63,56,55,105,70,95,50,50,70,76,48,64
64,University at Buffalo,North East,61,55,59,80,90,51,33,67,70,45,69,44,68,90,31,56,95,66,31,80,75,98,56,22,43,66,99,60,29,42,29,88,39,62,56,66,72,68,102,62,27,57,90,64,54,54,18,69,8,74,68,90,72,63,57
65,Oregon Health and Science University,West,74,80,80,69,12,57,27,66,60,88,65,90,76,70,34,91,12,60,45,68,34,101,63,31,23,74,71,77,106,80,45,87,31,66,86,78,68,80,73,58,14,49,48,65,57,80,24,58,23,69,73,59,70,51,62
66,Florida State University,South East,63,63,84,86,55,80,39,63,73,17,62,80,83,31,67,84,23,64,22,69,47,90,51,46,101,61,86,85,51,37,48,29,46,72,78,57,70,69,93,90,55,66,43,66,80,57,33,66,10,68,48,31,58,55,78
67,George Mason University,South East,64,58,64,22,8,92,26,64,68,104,70,67,58,74,68,94,91,77,40,39,80,8,82,104,102,64,82,82,36,67,94,37,69,64,82,85,47,104,29,66,49,56,23,67,63,68,70,74,34,58,49,47,67,91,71
68,Syracuse University,North East,69,74,69,67,34,87,15,80,69,29,68,102,55,60,47,63,68,86,85,44,31,10,68,69,73,90,56,49,34,66,73,92,82,57,71,62,31,31,94,60,10,64,66,68,58,63,27,55,39,67,45,60,66,82,72
69,University of Delaware,South East,71,87,94,46,10,64,101,75,65,63,71,86,67,75,69,55,8,71,68,86,94,64,58,39,29,65,57,72,87,86,92,8,22,82,77,60,78,22,54,52,13,71,87,69,67,58,12,76,91,52,63,83,64,56,82
70,Stony Brook University,North East,77,94,76,39,39,82,13,73,66,94,81,39,79,94,83,78,101,74,82,67,93,13,73,58,66,76,90,78,86,31,88,46,104,56,97,82,64,40,36,77,15,86,77,70,82,82,26,60,55,79,72,79,61,73,86
71,North Carolina State University,South East,70,82,87,31,101,55,49,76,81,66,64,74,72,58,88,87,34,82,25,102,68,15,91,67,106,80,74,64,59,74,104,63,40,86,62,64,50,76,88,99,44,65,54,71,68,56,14,68,101,55,31,78,90,80,99
72,Temple University,North East,72,76,83,76,13,58,48,72,71,73,87,31,78,83,78,73,10,99,76,31,81,59,80,85,63,84,65,62,46,102,63,90,76,65,99,86,75,85,66,53,31,60,88,72,73,67,39,77,48,83,36,99,75,68,92
73,University of Texas at Dallas,South West,76,92,106,85,64,68,10,77,92,31,80,66,74,78,50,68,14,90,46,58,64,31,87,76,36,73,60,84,101,104,31,66,67,60,72,72,83,46,48,64,64,90,59,73,87,73,35,91,15,35,92,64,80,87,60
74,Boston College,North East,62,68,74,58,27,84,59,70,79,50,60,104,35,80,80,82,13,65,101,104,90,34,89,101,54,72,77,65,90,89,28,59,85,68,90,65,80,25,100,50,59,82,29,74,96,91,101,65,13,72,34,80,62,67,54
75,Tulane University,South East,68,106,91,66,15,95,31,68,80,48,76,76,66,100,64,64,49,68,67,66,60,27,97,93,88,86,70,66,88,46,11,68,99,99,60,76,69,99,50,80,48,68,46,75,106,96,44,64,59,71,98,50,73,94,70
76,The University of Tennessee-Knoxville,South East,80,96,82,104,47,93,44,69,75,36,77,99,91,50,75,80,15,85,32,46,50,48,67,102,17,85,72,76,8,68,49,17,66,90,70,84,93,67,101,100,90,99,94,76,89,106,48,67,47,91,85,66,77,81,91
77,Rush University,Mid West,73,73,70,102,59,61,37,74,76,37,91,58,103,64,74,67,37,97,75,85,88,47,92,99,48,82,76,99,72,76,99,23,93,70,68,92,60,101,37,94,37,79,106,77,91,76,15,72,37,78,11,68,71,74,79
78,University of Denver,West,85,89,92,99,95,67,55,71,67,99,82,93,80,66,35,89,26,70,37,76,66,71,94,66,87,87,79,80,50,93,72,48,101,84,79,99,74,92,63,96,56,70,17,78,95,87,13,87,27,87,94,69,69,59,85
79,Wayne State University,Mid West,90,67,96,93,37,86,64,86,78,87,84,46,64,86,66,59,48,89,84,74,69,37,59,44,49,62,85,61,99,58,66,45,92,92,87,68,66,89,17,71,60,76,36,79,92,95,37,85,63,66,102,81,86,89,68
80,Washington State University,West,94,70,95,74,31,70,90,79,82,98,92,75,90,79,60,61,39,92,99,93,78,56,83,92,94,75,54,79,23,39,98,94,44,89,76,97,86,75,99,68,63,92,49,80,72,94,10,83,56,64,24,75,68,83,90
81,Clark University,North East,79,95,61,44,63,83,22,90,74,49,67,43,52,89,71,95,59,79,92,89,86,26,95,74,99,68,97,102,45,96,36,101,36,76,65,89,88,37,49,75,22,97,101,81,59,89,90,78,31,94,82,93,99,86,63
82,University of Connecticut,North East,75,91,73,92,56,89,56,89,88,11,78,89,71,81,94,70,55,54,36,75,83,44,75,89,50,91,102,63,49,43,37,99,75,97,102,79,71,36,92,86,34,89,92,82,86,92,73,82,71,101,37,86,87,95,102
83,University of Alaska Fairbanks,West,87,90,68,75,44,78,54,93,83,85,74,92,94,69,90,81,47,76,20,99,96,63,72,75,96,98,87,88,68,25,82,93,37,79,54,87,90,44,87,82,47,80,34,83,94,70,31,94,30,82,66,89,84,61,87
84,Iowa State University,Mid West,95,85,67,36,74,72,71,87,87,82,83,36,88,68,82,88,18,102,43,43,95,95,70,36,82,100,89,89,93,52,34,72,52,96,89,70,94,52,31,89,71,54,50,84,70,86,63,81,58,60,75,88,89,75,84
85,University of Georgia,South East,86,83,90,43,71,76,63,95,72,93,86,37,82,52,91,83,32,63,96,92,99,60,76,32,34,89,68,54,11,92,50,78,32,67,85,80,87,94,82,69,50,63,99,85,61,72,55,79,44,90,55,53,78,76,97
86,University of Kansas,Mid West,84,78,86,37,60,88,60,84,77,106,79,96,75,53,52,86,63,80,52,36,53,30,106,40,85,67,80,83,70,75,93,49,94,54,63,63,35,32,34,35,54,67,82,86,76,83,56,75,88,75,106,74,82,70,76
87,University of Nebraska-Lincoln,Mid West,89,86,102,32,26,62,30,85,91,101,75,25,87,96,87,93,56,96,94,52,74,22,61,52,11,96,63,93,40,103,87,34,96,94,80,54,89,96,11,87,30,84,72,87,75,103,49,80,82,84,87,95,94,97,61
88,American University,North East,78,102,89,52,58,97,42,78,84,34,72,32,89,95,86,76,31,87,58,37,87,58,81,96,75,69,67,91,75,36,106,96,43,80,84,102,53,43,85,79,42,102,96,88,83,78,59,86,74,89,104,87,83,96,65
89,Georgia State University,South East,82,61,100,40,88,96,47,82,86,24,89,52,84,98,98,102,42,91,86,40,71,88,86,37,93,94,94,92,96,32,101,50,79,102,91,96,96,79,24,95,82,96,93,89,97,97,60,92,84,80,103,96,79,88,80
90,Drexel University,North East,83,72,103,25,22,74,50,94,90,100,90,40,60,87,84,74,30,67,79,25,100,42,96,43,92,95,96,87,47,97,85,75,89,87,61,94,52,20,106,84,43,91,75,90,103,102,22,90,42,103,70,100,100,78,94
91,Rensselaer Polytechnic Institute,North East,91,75,75,96,46,106,34,83,94,75,94,20,86,82,89,101,71,84,57,32,89,84,78,20,98,77,84,68,82,20,24,82,20,63,94,67,82,86,75,98,74,94,11,91,78,75,64,84,22,96,99,52,95,102,83
92,University of Houston,South West,93,103,78,20,30,103,67,81,96,92,88,97,85,71,103,106,84,61,60,96,35,50,93,94,24,79,61,94,78,40,75,11,72,91,67,93,84,58,98,85,75,83,85,92,90,90,88,100,87,85,93,98,96,106,67
93,Oklahoma State University,South West,98,97,72,72,42,101,82,88,85,70,85,84,92,103,96,96,88,69,72,20,52,87,102,25,70,99,69,95,85,94,55,85,58,93,96,106,95,72,97,81,36,93,28,93,81,61,47,103,104,86,89,82,97,101,89
94,"Colorado State University, Fort Collins",West,99,101,98,94,50,102,69,96,89,97,96,94,53,35,92,72,22,94,102,94,103,36,101,72,67,92,101,101,28,88,97,98,102,69,69,83,91,60,67,92,67,61,100,94,102,101,50,101,50,92,61,103,91,104,73
95,Missouri University of Science and Technology,Mid West,96,104,101,97,87,100,74,99,99,89,97,72,98,84,53,62,27,83,89,97,82,74,90,79,78,78,91,104,66,84,89,24,25,101,93,95,100,102,68,78,88,101,24,95,101,104,54,89,32,105,105,71,93,93,69
96,Florida International University,South East,88,81,62,79,84,104,88,100,93,67,103,103,100,88,93,105,58,101,88,72,84,43,104,97,103,102,83,97,24,85,70,28,97,106,106,91,98,97,78,83,84,69,98,96,62,81,67,96,78,100,101,35,98,90,93
97,Louisiana State University,South East,81,98,97,89,32,98,75,91,100,55,99,85,96,93,100,104,75,106,44,103,98,32,88,86,61,83,93,69,61,72,103,61,103,61,95,69,92,57,61,106,95,106,70,97,93,93,71,88,75,88,97,84,103,105,96
98,New Jersey Institute of Technology,North East,100,100,65,103,43,105,43,98,101,78,93,88,99,85,99,103,43,104,97,79,91,75,98,103,100,103,106,96,100,79,96,70,86,83,73,61,103,103,70,103,87,87,103,98,104,98,69,98,60,53,100,101,101,62,104
99,University of Nebraska Medical Center,Mid West,97,93,104,88,75,59,36,92,98,68,100,79,101,101,85,90,78,95,103,88,92,46,105,57,97,105,81,67,17,99,78,103,88,104,83,101,99,88,103,105,20,95,78,99,105,105,30,105,69,98,67,85,85,103,101
100,Stevens Institute of Technology,North East,101,62,93,57,69,90,20,97,95,103,98,57,97,91,101,79,87,93,78,62,97,20,62,88,89,93,104,73,67,57,67,67,57,95,101,104,85,106,55,97,32,73,67,100,100,62,103,93,46,97,96,91,81,79,81
101,Lehigh University,North East,92,65,81,62,92,75,102,103,103,96,95,62,105,92,105,100,50,81,106,57,101,69,79,62,68,97,73,103,103,62,100,100,106,73,104,81,97,93,96,91,102,104,61,101,98,79,42,95,20,93,74,92,102,65,106
